quote_id,date,speaker,role,company_or_org,topic,quote_or_statement,source_url_or_doc,context,deck_relevance
EXEC-01,2024-11,Chris Kastner,CEO,HII,Outsourcing trajectory (direction),"Yes I think there's going to be a greater percentage of our work outsourced going forward. There is a premium related to that... we will increase the industrial base and increase outsourced partners on our future contracting activity... which means you're going to outsource more, which means it costs more. So we will outsource more.",HII FY2024 Q3 earnings call (Insider Monkey transcript),"Response to JPMorgan analyst Seth Seifman question on outsourcing impact","FOUNDATION QUOTE: HII CEO confirms structural shift toward more outsourcing. Direct statement that submarine industrial base spending will increase outsourcing percentage."
EXEC-02,2025-02,Chris Kastner,CEO,HII,"30% outsourcing increase is ""a material number""","Yeah. It's a material number. And the good news is we're outsourcing with partners that we already do outsource work with.",HII FY2024 Q4 earnings call (Insider Monkey transcript) — in response to Myles Walton (Wolfe Research) saying ""a move to increase it as much as you're talking about, 30%""","Analyst quantifies at 30%; CEO confirms it's material","SMOKING-GUN QUOTE: CEO confirms 30% outsourcing increase is material to financials."
EXEC-03,2025-02,Tom Stiehle,CFO,HII,Outsourcing tied to 20% throughput increase,"We anticipate that, you know, we'll be able to execute that work. And be a significant piece of the list that we talked about, about 20% more earn throughput.",HII FY2024 Q4 earnings call,Following the 30%-material-number exchange,CFO ties outsourcing to operational throughput target of +20%.
EXEC-04,2025-02,Chris Kastner,CEO,HII,Anti-vertical-integration stance,"We have a lot of outsource partners, and I'd rather develop outsource partners and have an arms-length relationship. I really don't want to vertically integrate.",HII FY2024 Q4 earnings call,Discussion of W International acquisition,"CEO explicit: HII prefers outsource partners over vertical integration. Direct strategic-make/buy statement."
EXEC-05,2025-05,Myles Walton,Analyst,Wolfe Research,Outsourcing magnitude (analyst Q),"Regarding the 35% increase in outsourcing, can you comment on where you are with respect to that and sort of how the performance quality is looking from what you're outsourcing?",HII FY2025 Q1 earnings call (Insider Monkey transcript),Quantified follow-up to 30% from prior quarter,Analyst-side: outsourcing-increase plan grew from 30% to 35% between calls.
EXEC-06,2025-05,Chris Kastner,CEO,HII,Outsourcing execution at scale,"We are on schedule in both yards in outsourcing for the year and the quality looks good. So, we're going to continue it. We need to. The industrial base is expanding. We need to take advantage of it.",HII FY2025 Q1 earnings call,Response to Myles Walton's 35% question,CEO confirms outsourcing strategy is ON TRACK across both yards (Newport News and Ingalls).
EXEC-07,2025-Q3,HII Press,Earnings release,HII,Outsourcing as revenue driver,"Shipbuilding Sales — $2.4 billion in shipbuilding revenue for Q3 2025, up 18% year-over-year, boosted by higher throughput, material receipts, and accelerated outsourcing.",HII FY2025 Q3 earnings highlights (Motley Fool),Q3 2025 reported results,"Outsourcing now formally listed as growth driver in earnings highlights — institutional recognition of the strategy."
EXEC-08,2026-05-05,Chris Kastner / HII Q1 2026,CEO,HII,"30% YoY growth in outsourcing hours (OFFICIAL 2026 GUIDANCE)","We are on track to grow our outsourcing hours year-over-year by 30%, and we will continue to identify capacity expansion opportunities to meet customer program demand requirements.",HII FY2026 Q1 earnings call (May 5 2026; sourced via Investing.com / Motley Fool),Part of HII's stated operational initiatives for 2026,"GOLD QUOTE: HII formally guides to 30% YoY growth in outsourcing HOURS. Quantitative, official, dated. The single most authoritative primary-source statement we have on the MAGNITUDE of HII outsourcing increase."
EXEC-09,2026-05-05,HII Q1 2026 highlights,Press release,HII,Outsourcing as a formal operational initiative,"Outsourcing Hours — Expected to grow by 30% year over year, supporting capacity expansion.",HII FY2026 Q1 earnings highlights (Motley Fool transcript bullet point),Listed in highlights summary,"Confirmation outsourcing is now a formal operational priority listed in HII earnings highlights."
EXEC-10,2026-05-05,Chris Kastner,CEO,HII,Distributed shipbuilding strategy,"Leveraging our distributed shipbuilding strategy [...]",HII FY2026 Q1 earnings call,Description of the strategic framework around outsourcing,"HII now uses ""distributed shipbuilding"" as the official strategic term — aligns with Navy's adoption of same term in 30-year plan."
