org_id,parent_org_id,name,current_official_name,role,decision_rights,command,echelon,portfolio_program,associated_opportunity_ids,customer_segment,geography,contracting_office,available_pathways,saronic_relationship_owner,engagement_status,next_action,as_of,notes,source
ASA-ALT,,ASA(ALT),"Assistant Secretary of the Army (Acquisition, Logistics & Technology)",Service acquisition executive,Milestone decision authority,HQDA,HQDA,Army acquisition enterprise,,,Washington DC,,FAR;OTA,,Not started,,2026-06-20,seed: SAE/MDA; named in the 2025 autonomous ship-to-shore demo,seed
AMC,,Army Materiel Command,U.S. Army Materiel Command,Materiel / logistics enterprise,Materiel release,AMC,ACOM,Materiel & sustainment,,,Redstone Arsenal AL,,FAR,,Not started,,2026-06-20,seed: parent of Army Contracting Command,seed
AFC,,Army Futures Command,U.S. Army Futures Command,Requirements / modernization,Capability requirements,AFC,ACOM,Modernization (CFTs/CDIDs),OPP-AWS-AUTONOMY,Army experimentation / autonomy / sensors / RDT&E,Austin TX,,OTA;prototype;experiment,,Not started,,2026-06-20,seed: requirements + experimentation home for autonomy,seed
ACC,AMC,Army Contracting Command,U.S. Army Contracting Command,Contracting enterprise,Contract strategy,ACC,MSC,Contracting,,,Redstone Arsenal AL,,FAR;OTA;CSO,,Not started,,2026-06-20,seed,seed
ACC-DTA,ACC,ACC-Detroit Arsenal,Army Contracting Command - Detroit Arsenal,Contracting office (Army watercraft),Contract award,ACC,Contracting office,Ground & watercraft systems,OPP-MSVL;OPP-ESP,Army operational watercraft & bridging,Detroit Arsenal MI,W56HZV,FAR;OTA;CSO;prototype,,Not started,,2026-06-20,seed: ACC-DTA publicly highlights Commercial Solutions Openings (CSO) as a route for commercial/autonomy capabilities (2026 ACC-DTA brief),seed
CPE-CS,ASA-ALT,CPE Combat Sustainment,"Capability Program Executive, Combat Sustainment",Program executive portfolio (new nomenclature; replaces the PEO CS&CSS framing),Program execution,ASA(ALT),CPE,Transportation/Engineer/Quartermaster/Ordnance,OPP-MSVL;OPP-ESP,,Detroit Arsenal MI,,FAR;OTA,,Not started,,2026-06-20,seed: June 2026 Army article - 'Link assumes helm at CPE Combat Sustainment',seed
PM-TRANS,CPE-CS,PM Transportation Systems,Project Manager Transportation Systems,Program / requirement owner (watercraft),Program requirements,CPE Combat Sustainment,PM,"Army watercraft (MSV(L), LCU/LSV, ESP)",OPP-MSVL;OPP-ESP,Army operational watercraft & bridging,Detroit Arsenal MI,W56HZV,FAR;OTA,,Not started,,2026-06-20,seed: 2026 ACC-DTA brief places Watercraft under PM Transportation Systems in the Combat Support & Services Directorate,seed
SUST-CDID,AFC,Sustainment CDID,Sustainment Capability Development Integration Directorate,Capability development / requirements,Requirements shaping,AFC / CASCOM,CDID,Sustainment capabilities,OPP-AWS-AUTONOMY,Army experimentation / autonomy / sensors / RDT&E,Fort Gregg-Adams VA,,experiment;prototype,,Not started,,2026-06-20,seed: named in the 2025 autonomous ship-to-shore demo,seed
CL-CFT,AFC,Contested Logistics CFT,Contested Logistics Cross-Functional Team,Requirements priority (contested logistics),Modernization priority,AFC,CFT,Contested logistics,OPP-MSVL;OPP-AWS-AUTONOMY,Army experimentation / autonomy / sensors / RDT&E,,,experiment;OTA,,Not started,,2026-06-20,seed: named in the 2025 autonomous ship-to-shore demo,seed
USARPAC,,U.S. Army Pacific,U.S. Army Pacific,Theater command / operational user,Operational demand,USARPAC,ASCC,Theater sustainment demand,OPP-MSVL,Army operational watercraft & bridging,INDOPACOM,,experiment,,Not started,,2026-06-20,seed: theater demand signal; 2025 demo,seed
8TSC,USARPAC,8th Theater Sustainment Command,8th Theater Sustainment Command,Operational user,Operational requirements / feedback,USARPAC,TSC,Theater sustainment,OPP-MSVL,Army operational watercraft & bridging,Hawaii / INDOPACOM,,experiment,,Not started,,2026-06-20,seed: 2025 autonomous ship-to-shore demo participant,seed
569-DIVE,8TSC,569th Dive Detachment,569th Engineer Dive Detachment,Operational user (dive & salvage),Operational feedback,8th TSC,Detachment,Dive & salvage,,Army operational watercraft & bridging,INDOPACOM,,experiment,,Not started,,2026-06-20,seed: 2025 autonomous ship-to-shore demo participant,seed
USACE-ERDC,,ERDC (Coastal & Hydraulics Lab),U.S. Army Engineer Research and Development Center,RDT&E / user,S&T direction,USACE,Lab,Civil-works floating plant + marine S&T,,USACE floating plant / civil works,Vicksburg MS,W912HZ,FAR;CSO;prototype,,Not started,,2026-06-20,seed: civil-works floating plant + marine S&T (ERDC DoDAAC W912HZ; other USACE districts contract under W912xx),seed
