claim_id,claim_label,value,unit,source_id,source_title,source_section,source_url,source_date,quoted_text,deck_relevance
01,Sole-source critical suppliers,70,percent,CRS-RL32418,"Navy Virginia-Class Submarine Program and AUKUS Submarine (Pillar 1) Project: Background and Issues for Congress (R. O'Rourke)",Submarine Construction Industrial Base / Overview,https://www.congress.gov/crs-product/RL32418,2026-01-26,"About 70% of the critical suppliers for the construction of submarines are sole-source suppliers.","Headline supply chain vulnerability stat. Use on supplier-base slide."
02,Total submarine suppliers,16000,count,CRS-RL32418,"Navy Virginia-Class Submarine Program and AUKUS Submarine (Pillar 1) Project",Submarine Construction Industrial Base / Overview,https://www.congress.gov/crs-product/RL32418,2026-01-26,"In addition to GD/EB and HII/NNS, the submarine construction industrial base includes about 16,000 suppliers in all 50 states.","Anchor figure for the size of the addressable supplier ecosystem."
03,Submarine industrial base investment FY-FY28,9800,USD millions,CRS-RL32418,"Navy Virginia-Class Submarine Program and AUKUS Submarine (Pillar 1) Project",Submarine Construction Industrial Base Enhancement Efforts / Funding,https://www.congress.gov/crs-product/RL32418,2026-01-26,"The estimated total amount of funding appropriated through FY2024, requested for FY2025, and programmed for FY2026-FY2028 for the submarine construction industrial base is about $9.8 billion.","Sub-specific industrial base investment running total."
04,Total DOD submarine industrial base investment,10000,USD millions,GAO-26-109068,"Navy and Coast Guard Shipbuilding: A Disciplined Strategy-Driven Approach Is Needed (Oakley testimony)",Why GAO Did This Study / Highlights,https://www.gao.gov/products/gao-26-109068,2026-04-22,"DOD does not know how much funding it expects to need—beyond the more than $10 billion DOD already invested—to solve submarine industrial base challenges.","Updated April-2026 figure. Latest authoritative number for DOD sub IB investment to date."
05,Total DOD shipbuilding industrial base spending FY14-FY23,5800,USD millions,GAO-25-106286,"Shipbuilding and Repair: Navy Needs a Strategic Approach for Private Sector Industrial Base Investments",Highlights / DOD Invests Billions to Support the Shipbuilding Industrial Base,https://www.gao.gov/products/gao-25-106286,2025-02-27,"DOD spent over $5.8 billion on the shipbuilding industrial base from fiscal years 2014 through 2023.","Historical baseline for IB investment trajectory."
06,Planned additional shipbuilding IB spend FY through FY28,12600,USD millions,GAO-25-106286,"Shipbuilding and Repair: Navy Needs a Strategic Approach for Private Sector Industrial Base Investments",Highlights,https://www.gao.gov/products/gao-25-106286,2025-02-27,"It plans to spend an additional $12.6 billion through fiscal year 2028.","Forward-looking shipbuilding IB commitment."
07,Supplier base size vs historical,-70,percent (atrophy),GAO-21-257,"Columbia Class Submarine: Delivery Hinges on Timely and Quality Materials from an Atrophied Supplier Base",Why GAO Did This Study / Highlights page 1,https://www.gao.gov/products/gao-21-257,2021-01-14,"They plan to rely on materials produced by a supplier base that is roughly 70 percent smaller than in previous shipbuilding booms.","Atrophy framing — used to motivate why the MIB investments exist."
08,Shipbuilders expanding outsourcing,N/A,qualitative,GAO-21-257,"Columbia Class Submarine: Delivery Hinges on Timely and Quality Materials from an Atrophied Supplier Base",What GAO Found / Highlights page 1,https://www.gao.gov/products/gao-21-257,2021-01-14,"As the shipbuilders expand outsourcing to suppliers, quality assurance oversight at supplier facilities will be critical for avoiding further delays.","Directional support for the deck's 'outsourcing is increasing' framing."
09,Outsourcing trend due to capacity,N/A,qualitative,GAO-25-106286,"Shipbuilding and Repair: Navy Needs a Strategic Approach for Private Sector Industrial Base Investments",Shipbuilding Infrastructure Limitations,https://www.gao.gov/products/gao-25-106286,2025-02-27,"Two of the shipbuilders we spoke with are already outsourcing work that would normally be done at their shipyards to their suppliers to overcome constrained physical space, with plans to expand the volume of material they are outsourcing.","Concrete primary-source statement that shipbuilders are increasing outsourcing."
10,Va per-boat cost at 2/yr rate,5000,USD millions,CRS-RL32418,"Navy Virginia-Class Submarine Program and AUKUS Submarine (Pillar 1) Project",Introduction / Executive Summary,https://www.congress.gov/crs-product/RL32418,2026-01-26,"When procured at a rate of two per year, they have an estimated procurement cost under the Navy's FY2026 budget submission of about $5.0 billion each.","Per-Va cost anchor for the funnel."
11,Va actual production rate,1.3,boats per year,Breaking-Defense-Raven-2024,"Invest in the US industrial base to support our Navy and AUKUS (Erik Raven op-ed)",,https://breakingdefense.com/2024/04/invest-in-the-us-industrial-base-to-support-our-navy-and-aukus-raven/,2024-04,"Where we should be delivering two Virginia-class submarines a year, we are currently only on pace to deliver 1.3.","Va production-rate gap quote for narrative."
