section,line,item,fy2026_$M,included,category,note
20002,1,Expansion of Accelerated Training in Defense Manufacturing program,250.0,0,Industrial base,Workforce training; CLB/VCS submarine wage enhancements
20002,2,U.S. production of turbine generators for shipbuilding industrial base,250.0,0,Industrial base,Second turbine-generator supplier for submarine cadence
20002,3,U.S. additive manufacturing for wire production and machining capacity,450.0,0,Industrial base,Cross-platform MIB weld-wire / additive capacity
20002,4,Next-generation shipbuilding techniques,492.0,0,Industrial base,Mobile Naval Yard activation; not DDG-51 SCN
20002,5,U.S.-made steel plate for shipbuilding industrial base,85.0,0,Industrial base,Light-gauge steel capability; cross-platform
20002,6,Machining capacity for naval propellers,50.0,0,Industrial base,Propeller foundry modernization; cross-platform
20002,7,Rolled steel and fabrication facility,110.0,0,Industrial base,Brownfield facility repurpose; cross-platform
20002,8,Expansion of collaborative campus for naval shipbuilding,400.0,0,Industrial base,Workforce / advanced-manufacturing campus
20002,9,Application of autonomy and artificial intelligence to naval shipbuilding,450.0,0,Industrial base,Digital architecture across yards; cross-platform
20002,10,Adoption of advanced manufacturing techniques in the maritime industrial base,500.0,0,Industrial base,Electric Boat / Newport News submarine manufacturing
20002,11,Additional dry-dock capability,500.0,0,Industrial base,Puget Sound NSY Dry Dock 4; repair infrastructure
20002,12,Expansion of cold spray repair technologies,50.0,0,Industrial base,Repair network; sustainment-side
20002,13,Additional maritime industrial base workforce development programs,450.0,0,Industrial base,CLB/VCS submarine workforce programs
20002,14,Additional supplier development across the naval shipbuilding industrial base,750.0,0,Industrial base,Cross-platform supplier development; surface risk-reduction mentioned but not DDG-51 SCN
20002,15,Additional advanced manufacturing processes across the naval shipbuilding industrial base,250.0,0,Industrial base,Regional advanced-manufacturing scaling; cross-platform
20002,16,Second Virginia-class submarine in fiscal year 2026,4600.0,0,Other-platform procurement,VCS hull procurement
20002,17,Two additional Guided Missile Destroyer (DDG) ships,5400.0,1,DDG-51 new construction,2 DDG-51 in FY2026 (DDG 147/149) under current MYP; covers BC + GFE; awards from Q2 FY2026; available through 2029-09-30
20002,18,Advanced procurement for Landing Ship Medium,160.0,0,Other-platform procurement,LSM AP
20002,19,Procurement of Landing Ship Medium,1803.9,0,Other-platform procurement,~8 LSM hulls
20002,20,Development of a second Landing Craft Utility shipyard and production of additional LCU,295.0,0,Other-platform procurement,LCU yard + craft
20002,21,AP for TAO Light Replenishment Oiler,100.0,0,Other-platform procurement,T-AOL AP
20002,22,Lease or purchase of new ships through the National Defense Sealift Fund,600.0,0,Other-platform procurement,Sealift ships
20002,23,Procurement of T-AO oilers,2725.0,0,Other-platform procurement,3 T-AO (2 FY26 / 1 FY27)
20002,24,Cost-to-complete for rescue and salvage ships,500.0,0,Other-platform procurement,T-ATS cost-to-complete
20002,25,Production of Ship-to-Shore Connectors,300.0,0,Other-platform procurement,LCAC production / SLEP
20002,26,Implementation of multi-ship amphibious warship contract,1470.0,0,Other-platform procurement,LPD/LHA block buy
20002,27,Accelerated development of vertical launch system reloading at sea,80.0,0,Fleet / capability,VLS reload-at-sea development; not new construction
20002,28,Expansion of Navy corrosion control programs,250.0,0,Fleet / capability,Fleet sustainment across up to 44 ships
20002,29,Leasing of ships for Marine Corps operations,159.0,0,Fleet / capability,Theater distribution leases
20002,30,"Expansion of small, unmanned surface vessel production",1534.0,0,Other-platform procurement,Small USV
20002,31,Expansion of purpose-built medium unmanned surface vessel production,2100.0,0,Other-platform procurement,Medium USV
20002,32,Expansion of unmanned underwater vehicle production,1300.0,0,Other-platform procurement,UUV programs
20002,33,Development and testing of maritime robotic autonomous systems,188.4,0,Fleet / capability,RAS development and testing
20002,34,Development of a Test Resource Management Center RAS proving ground,174.0,0,Fleet / capability,Test infrastructure
20002,35,"Development, production, and integration of wave-powered unmanned underwater vehicles",250.0,0,Other-platform procurement,Wave-powered UUV
20002,36,Retention of inactive reserve fleet ships,150.0,0,Fleet / capability,Ready Reserve Force sustainment
