fy_book,keyword,has_dollar,snippet
2020,DDG,,"Bath Iron Works builds the Arleigh Burke-class (DDG-51) guided-missile destroyers and manages modernization and lifecycle support for the class. We have a total of 11 ships in backlog scheduled for delivery through 2027. Bath Iron Works is also the hull, mechanical and electrical (HM&E) prime contractor and lifecycle support provider for the Zumwalt-class (DDG-1000) guided-missile destroyer program. We expect to complete our work on the third and"
2020,Arleigh Burke,,"We are also working with our network of more than 3,000 suppliers — mostly small businesses — to provide for concurrent production of the two submarine programs. Bath Iron Works builds the Arleigh Burke-class (DDG-51) guided-missile destroyers and manages modernization and lifecycle support for the class. We have a total of 11 ships in backlog scheduled for delivery through 2027. Bath Iron Works is also the hull, mechanical and electrical (HM&E) prime contractor and lifecycle support provider for the Zumwalt-class (DDG-1000) guided-missile destroyer program. We expect to complete our work on the"
2020,Bath Iron Works,,"We have a total of 11 ships in backlog scheduled for delivery through 2027. Bath Iron Works is also the hull, mechanical and electrical (HM&E) prime contractor and lifecycle support provider for the Zumwalt-class (DDG-1000) guided-missile destroyer program. We expect to complete our work on the third and final ship of this class in 2021. NASSCO specializes in Navy auxiliary and support ships and is currently building the Expeditionary Sea Base (ESB), which serves as a forward-staging ba"
2020,Bath Iron Works,Y,"The Marine Systems segment’s operating margin increased 10 basis points in 2020 despite the impact of the pandemic and a workforce strike at our Bath Iron Works shipyard. 2021 Outlook We expect the Marine Systems segment’s 2021 revenue to be approximately $10.3 billion. Operating margin is expected to be approximately 8.3%, down from 2020 due to increased work on the first two Columbia-class submarines, which carry a lower margin consistent with lead boats in a new class. COMBAT SYSTEMS Year Ended December 31 2020 2019 Variance Revenue $ 7,223 $ 7,007 $"
2020,Marine Systems,Y,"This revenue growth was achieved as management worked to protect 34 employees and support the supply chain to keep these critical programs on track during the pandemic. The Marine Systems segment’s operating margin increased 10 basis points in 2020 despite the impact of the pandemic and a workforce strike at our Bath Iron Works shipyard. 2021 Outlook We expect the Marine Systems segment’s 2021 revenue to be approximately $10.3 billion. Operating margin is expected to be approximately 8.3%, down from 2020 due to increased work on the first two Columbia-class submarines, which carry"
2020,Marine Systems,Y,"gment at the end of 2020 and 2019: Funded Unfunded Total Backlog Estimated Potential Contract Value Total Estimated Contract Value December 31, 2020 Aerospace $ 11,308 $ 318 $ 11,626 $ 2,800 $ 14,426 Marine Systems 23,646 26,336 49,982 4,876 54,858 Combat Systems 14,341 226 14,567 9,774 24,341 Technologies 9,488 3,826 13,314 27,727 41,041 Total $ 58,783 $ 30,706 $ 89,489 $ 45,177 $ 134,666 December 31, 2019 Aerospace $ 13,168 $ 181 $ 13,349 $ 2,989 $ 16,338 Marine Systems 20,012 24,175 44,187 5,453 49,640 Combat Systems 14,474 439 14,913 4,322 19,235 Technologies 9,876 4,620 14,496 26,485 40,981 Total $ 57,"
2020,Marine Systems,Y,"4 billion on December 31, 2020, up 16.9% from $36.3 billion at year-end 2019 due to strong demand from customers in our Combat Systems and Technologies segments. 39 MARINE SYSTEMS The Marine Systems segment’s backlog consists of very long-term submarine and surface ship construction programs, as well as numerous engineering and repair contracts. The segment’s book-to-bill ratio was 1.6-to-1 in 2020, resulting in backlog growth of 13.1% from year-end 2019. The increase in backlog is due primarily to the award of a $9.5 billion contract for the construction of the first two"
2020,Marine Systems,Y,"S. Government Year Ended December 31 2020 2019 2018 2020 2019 2018 2020 2019 2018 Aerospace $ 8,075 $ 9,801 $ 8,455 $ 1,083 $ 1,532 $ 1,490 $ 513 $ 498 $ 334 Marine Systems 9,979 9,183 8,502 854 785 761 9,871 9,027 8,245 Combat Systems 7,223 7,007 6,241 1,041 996 962 4,191 4,048 3,228 Technologies 12,648 13,359 12,995 1,211 1,311 1,267 11,728 12,234 11,799 Corporate — — — ( 56 ) ( 54 ) ( 86 ) — — — Total $ 37,925 $ 39,350 $ 36,193 $ 4,133 $ 4,570 $ 4,394 $ 26,303 $ 25,807 $ 23,606 * See Note B for additional revenue information by segment. Corporate operating result"
2020,Electric Boat,Y,"We are investing $1.8 billion of capital in expanded and modernized facilities at Electric Boat to support the growth in submarine construction. Our expenditures peaked in 2020, and we will have completed a majority of these investments by the end of 2021. Equal to the commitment of capital is our commitment to our workforce, which is on track to grow approximately 30% over the next decade, particularly in support of Columbia-class production. To reach our objective, we continue to invest i"
2020,Backlog,Y,"9 billion with sequential growth throughout the year. ◦ Cash from operating activities of $3.9 billion, or 122% percent of net earnings. • Record-high backlog of $89.5 billion increased $2.5 billion, or 2.9%, from 2019, supporting our long-term growth expectations: ◦ Several significant contract awards received in 2020 in our defense segments, including $9.5 billion from the U."
