query_slug,article_date,article_source,article_title,article_url,category,matched,snippet
ingalls_suppliers_count,2026-05-14,Army Recognition,U.S. Navy Deploys Artificial Intelligence System to Accelerate Columbia and Virginia Submarine Production,https://www.armyrecognition.com/news/army-news/2026/u-s-navy-deploys-artificial-intelligence-system-to-accelerate-columbia-and-virginia-submarine-production,distributed_ship,distributed shipbuilding,"In parallel, the Navy plans to invest more than $6.2 billion specifically to expand and stabilize the submarine industrial base through workforce development, supplier expansion, distributed shipbuilding, advanced manufacturing technologies, and productivity modernization programs.

A major strategic concern identified in the report is the fragility of the current U.S. submarine industrial base."
ingalls_suppliers_count,2026-05-14,Army Recognition,U.S. Navy Deploys Artificial Intelligence System to Accelerate Columbia and Virginia Submarine Production,https://www.armyrecognition.com/news/army-news/2026/u-s-navy-deploys-artificial-intelligence-system-to-accelerate-columbia-and-virginia-submarine-production,distributed_ship,distributed shipbuilding,"deterrence strategy against China and Russia.

The May 2026 U.S. Navy Shipbuilding Plan also reveals that the Navy intends to expand distributed shipbuilding across the United States, increasing the percentage of work performed at distributed industrial sites from roughly 10 percent today to 50 percent in the future."
ingalls_suppliers_count,2026-05-05,Barchart.com,"Stock Index Futures Climb as U.S.-Iran Ceasefire Holds, JOLTs Report and Earnings in Focus",https://www.barchart.com/story/news/1705104/stock-index-futures-climb-as-u-s-iran-ceasefire-holds-jolts-report-and-earnings-in-focus,pct_outsource,9% after Amazon unveiled a rival business called Amazon Supply Chain,"United Parcel Service (UPS) sank over -10% to lead losers in the S&P 500 and FedEx (FDX) slid more than -9% after Amazon unveiled a rival business called Amazon Supply Chain Services. Also, most chip stocks retreated, with Advanced Micro Devices (AMD) falling over -5% and Qualcomm (QCOM) dropping more than -4%. In addition, Norwegian Cruise Line Holdings (NCLH) plunged over -8% after the cruise line operator cut its full-year adjusted EPS guidance, citing ""headwinds related to disruptions in the Middle East."
ingalls_suppliers_count,2026-05-05,Barchart.com,"Stock Index Futures Climb as U.S.-Iran Ceasefire Holds, JOLTs Report and Earnings in Focus",https://www.barchart.com/story/news/1705104/stock-index-futures-climb-as-u-s-iran-ceasefire-holds-jolts-report-and-earnings-in-focus,supplier_pct,"suppliers rallied, with Micron Technology (MU) climbing more than +6% to lead gainers in the Nasdaq 100, and SanDisk (SNDK) rising over +5%","CLH) plunged over -8% after the cruise line operator cut its full-year adjusted EPS guidance, citing ""headwinds related to disruptions in the Middle East."" On the bullish side, shares of flash memory suppliers rallied, with Micron Technology (MU) climbing more than +6% to lead gainers in the Nasdaq 100, and SanDisk (SNDK) rising over +5%.

""Judging by ⁠last week, the market's recipe for near-term upside will be sidestepping negative surprises out of the Middle East to allow what has been a stronger-than-average ⁠earnings season to continue to dominate sentiment,"" said Chris Larkin at E*Trade from Morgan Stanley.

Economic data released on Monday showed that U.S. factory orders rose +1."
destroyer_supply_chain,2026-05-11,Investing.com UK,Earnings call transcript: Fincantieri Q1 2026 sees margin growth but stock plummets By Investing.com,https://uk.investing.com/news/stock-market-news/earnings-call-transcript-fincantieri-q1-2026-sees-margin-growth-but-stock-plummets-93CH-4667485,pct_outsource,80% at least of this order is translated into supply chain,"Again, I think that more in general, Navy expenditure in Italy is the one that is converting more into local value chain, supply chain, and local GDP. When we build the ship, the, I would say 80% at least of this order is translated into supply chain benefits and value chain benefits for our nation.

That's why I strongly believe that this feature of the NavyMake make the comparison with similar expenditure very, very, very advantageous for us. We will continue to address those opportunities, and we're looking forward to sharing with you the achieved target.

Conference Operator, Moderator, Chorus Call: Clear. Thank you."
destroyer_supply_chain,2026-05-05,Simple Flying,Why NATO's Most Advanced American Fighter Jet Is Now Being Built In Italy,https://simpleflying.com/nato-advanced-american-fighter-jet-now-built-italy/,ddg_supplier_count,500 suppliers,"In the United Kingdom alone, the program supports over 500 suppliers, ensuring that the local defense industrial base remains relevant and technologically advanced. By participating in a global supply chain, European partners develop domestic skill pools of technicians and engineers who specialize in stealth materials, advanced sensors, and digital-twin manufacturing."
destroyer_supply_chain,2026-04-27,bankingnews.gr,How the IRGC Navy routed the US - Iran prepares new strike at the,https://www.bankingnews.gr/index.php?id=871264,supplier_pct,"supply chain remains active, with 85%","of global polypropylene and 20% of polyethylene, as well as a quarter of the world's sulfur and 15% of its fertilizers.

The Iranian government stated that there is no shortage of goods and that the supply chain remains active, with 85% of agricultural products and basic goods produced domestically. However, while many American voters worry about the rising price of gasoline, Iranians are more accustomed to such difficulties. As one expert noted: ""The goal of the Iranian leadership during the war is not the operation of a normal economy."
destroyer_supply_chain,2026-05-11,Investing.com India,Earnings call transcript: Huntington Ingalls Industries beats Q1 2026 estimates By Investing.com,https://in.investing.com/news/stock-market-news/earnings-call-transcript-huntington-ingalls-industries-beats-q1-2026-estimates-93CH-5395373,outsource_pct,outsourcing hours year-over-year by 30%,"Leveraging our distributed shipbuilding strategy, we are on track to grow our outsourcing hours year-over-year by 30%, and we will continue to identify capacity expansion opportunities to meet customer program demand requirements.

The third operational initiative of securing new contract awards is on track, and we are making good progress on the Virginia-class Block VI and the next Columbia-class contract, with awards expected in the second quarter."
destroyer_supply_chain,2026-05-11,Investing.com India,Earnings call transcript: Huntington Ingalls Industries beats Q1 2026 estimates By Investing.com,https://in.investing.com/news/stock-market-news/earnings-call-transcript-huntington-ingalls-industries-beats-q1-2026-estimates-93CH-5395373,pct_outsource,30% increase in outsourc,"I'll start, and then I'll kick it over to Kari to talk about Charleston. Yeah, we do anticipate 30% increase in outsourcing in 2026 over increases that we had in 2025. We continue to expand our distributed shipbuilding network. Charleston's doing well. As I said, I'd kick that over to Kari, from a Hyundai standpoint we still have or we're still engaging in discussions with them and evaluating potential. We don't see them in the network right now for this year."
destroyer_supply_chain,2026-05-11,Investing.com India,Earnings call transcript: Huntington Ingalls Industries beats Q1 2026 estimates By Investing.com,https://in.investing.com/news/stock-market-news/earnings-call-transcript-huntington-ingalls-industries-beats-q1-2026-estimates-93CH-5395373,distributed_ship,distributed shipbuilding,"Neal, and achieved stern release on DDG 133 Sam Nunn. We also loaded main machinery on DDG 135 Thad Cochran and received the first 2 of 32 units in yard from our distributed shipbuilding partners on DDG 137 John F. Lehman. Moving to Mission Technologies, we had another quarter of strong sales of $748 million. We have a robust opportunity pipeline. We were awarded a position on the $25 billion ceiling Advanced Technology Support Program, microelectronics multi-award contract, and the $151 billion ceiling Missile Defense Agency's SHIELD multi-award contract."
