input_row,Vendor UEI,Vendor,normalized_vendor_or_business_unit,evidence_specificity,confidence,submarine_construction_work_description,delivery_category,delivery_at_delivery_or_integration,research_notes,source_urls
1,NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,Northrop Grumman Marine Systems / Underwater Launch Systems,Columbia-specific public evidence,High,"Northrop Grumman is a major supplier of Columbia-class propulsion and missile-launch subsystems rather than a hull builder. Public sources identify Northrop Grumman as the Electric Boat-selected supplier for turbine generator units for the Ohio Replacement Program/Columbia predecessor; those units support the submarine's propulsion and ship electrical power architecture. Northrop Grumman also describes continuing production of Launcher Subsystem hardware for the Columbia and UK Dreadnought common missile compartment, including launch-system elements associated with the Trident missile tubes.",Major equipment/subsystems,"Factory-manufactured, assembled, qualified turbine-generator equipment and missile-launch subsystem hardware/control elements delivered to the prime yard/system integrator for installation into the submarine power and weapons-launch systems.","A 2024 Navy-delay article indicates late Northrop Grumman turbine-generator/steam-turbine hardware affected the lead Columbia schedule, reinforcing that the item is a major long-lead subsystem.",https://investor.northropgrumman.com/news-releases/news-release-details/northrop-grumman-selected-provide-turbine-generator-units-us | https://www.northropgrumman.com/what-we-do/sea | https://news.usni.org/2024/04/10/late-turbines-have-major-impact-on-columbia-sub-delivery-schedule-says-secnav | https://breakingdefense.com/2024/04/northrop-grumman-made-part-significant-contributor-to-sub-delays-navy-secretary/
2,W8PTMRME1496,LEONARDO SPA,Leonardo DRS Naval Power Systems,Columbia-specific public evidence,High,"Leonardo DRS supplies integrated electric-propulsion products for the Columbia-class submarine program. Public announcements identify the Columbia shipset content as the permanent-magnet main propulsion electric motor, propulsion motor drives, switchgear, and propulsion controls. Leonardo DRS describes these items as the heart of the Columbia electric-drive propulsion system; it also announced delivery of the first production main propulsion motor after factory acceptance testing for integration into the lead Columbia submarine.",Major propulsion equipment/shipset hardware,"Factory-accepted propulsion equipment delivered as shipset hardware, including the main propulsion motor and associated drives, switchgear, and control equipment for installation and integration by Electric Boat.","The workbook lists Leonardo SpA; the relevant public US Navy program announcements are from Leonardo DRS, the US defense electronics and naval power business of Leonardo.",https://www.leonardodrs.com/news/press-releases/leonardo-drs-awarded-contracts-for-u-s-navys-columbia-class-submarine-program/ | https://usa.leonardo.com/en/press-release-detail/-/detail/leonardo-drs-awarded-contracts-for-us-navy-columbia-class-submarine-program | https://www.leonardodrs.com/news/press-releases/drs-delivers-advanced-electric-propulsion-equipment-for-lead-columbia-class-submarine/ | https://usa.leonardo.com/en/press-release-detail/-/detail/leonardo-drs-delivers-advanced-electric-propulsion-equipment-for-lead-columbia-class-submarine
3,N1PJDANWUJ61,SCOT FORGE COMPANY,Scot Forge Company,Submarine-general public evidence; no public Columbia deliverable found,Medium,"Scot Forge is a custom forging supplier for marine propulsion and shipbuilding. Its public marine-propulsion materials describe experience producing ship, submarine, and boat shaft forgings, as well as open-die and rolled-ring forgings used as high-strength metal inputs for propulsion and other heavy mechanical applications. Defense-industrial-base coverage also identifies Scot Forge as part of the castings-and-forgings supplier base receiving submarine-industrial-base investment to expand large-forging capacity.",Mid-finished forged metal products/material inputs,"Forged blanks, near-net-shape forgings, rings, shafts, or other certified forged components are delivered for downstream machining, finishing, inspection, assembly, or shipyard integration.","The public evidence supports a submarine-forgings role, but not the exact Columbia-class part number or assembly in this workbook row.",https://www.scotforge.com/market-expertise1/marine-propulsion | https://www.scotforge.com/market-expertise/shipbuilding | https://www.defensenews.com/naval/2023/09/08/the-us-navy-is-spending-billions-to-stabilize-vendors-will-it-work/
4,WYDAKCJ5K219,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,Curtiss-Wright Electro-Mechanical Division (EMD),Columbia-specific company-level evidence plus submarine/nuclear-navy product evidence,High,"Curtiss-Wright EMD designs, manufactures, tests, delivers, and supports naval electro-mechanical equipment for the US Navy, including pumps, motors, generators, propulsors, mechanical seals, and related nuclear-navy systems. Curtiss-Wright public announcements identify Columbia-class support through propulsion valves, pumps, advanced instrumentation and control systems, and separate Columbia generator work. For this Electro-Mechanical entity row, the likely work is nuclear/naval machinery and electro-mechanical equipment that becomes part of propulsion, auxiliary, and control systems.",Equipment/discrete subsystems,"Factory-built and tested pumps, motors, generators, valves, seals, instrumentation, and control-system hardware delivered as qualified equipment for installation in propulsion and HM&E systems.","The exact item under this UEI is not public in the workbook, but Curtiss-Wright EMD's naval product base and Curtiss-Wright's Columbia contract announcements strongly support a major equipment role.",https://electro-mechanicalsystems.curtisswright.com/emd/about-us | https://electro-mechanicalsystems.curtisswright.com/emd/markets-and-products | https://curtisswright.com/news/press-releases/news-release-details/2024/curtiss-wright-awarded-contracts-valued-excess-130-million-support-critical-us-naval-defense | https://curtisswright.com/markets/defense/naval-defense | https://www.naval-technology.com/news/curtiss-wright-generators-columbia-ssbn/
5,KENVPMBVBT39,"RHOADS METAL FABRICATIONS, INC.",Rhoads Industries / Rhoads Metal Fabrications,Columbia/submarine-industrial-base public evidence,High,"Rhoads performs large-scale defense maritime fabrication, assembly, outfitting, welding, pipefitting, and industrial services for Navy submarine construction. Its public materials describe a Philadelphia focus factory for Navy submarine construction, NAVSEA/MIL-spec welding qualifications, and General Dynamics Electric Boat approvals. Rhoads specifically describes moving completed submarine decks and modules from its manufacturing floor to barges bound for Navy test sites or final-assembly shipyard locations.",Modular assemblies/large fabricated structures plus services,"Completed or substantially complete submarine decks, modules, large welded structures, and outfitted fabrications are moved by heavy-lift/roll-on systems to barges for delivery to test sites or prime shipyard final assembly; some work may also be rendered as fabrication/outfitting service.",This is one of the clearer module/fabrication suppliers in the workbook; delivery form is closer to modular/structural assemblies than raw material.,https://www.rhoadsinc.com/rhoads-industries-opens-new-high-capacity-pier-6a-to-support-u-s-navy-submarine-programs/ | https://www.rhoadsinc.com/capabilities/dod/ | https://www.rhoadsinc.com/capabilities/maritime/ | https://www.rhoadsinc.com/rhoads-industries-receives-green-rating-in-general-dynamics-electric-boat-readiness-assessment/ | https://www.rhoadsinc.com/capabilities-old/welding-services/
6,YD1GK53355R5,"PRECISION CUSTOM COMPONENTS, LLC","Precision Custom Components (PCC), a BWXT company",Submarine subaward evidence plus company product capability; exact Columbia deliverable not public,Medium-High,"Precision Custom Components is a custom heavy-fabrication and nuclear-manufacturing supplier. Public company and acquisition materials describe custom-fabricated heavy pressure vessels, reactors, casks, and other heavy-walled components requiring specialized machining, welding, fabrication, engineering, drafting, and in-house manufacturing capability. Public subcontract data show a General Dynamics Electric Boat subaward under the Columbia-class design-completion contract, and local reporting describes PCC as supplying submarine components to the US Navy.",Discrete heavy fabricated components/assemblies,"Build-to-print or engineered heavy-walled fabricated components, pressure-boundary-type equipment, or complex machined/welded assemblies delivered after fabrication, inspection, and certification for integration by the prime or another subsystem supplier.","The public subcontract entry confirms an Electric Boat Columbia-contract relationship, but not the exact part; the delivery-form classification is inferred from PCC's public heavy-component capability set.",https://www.bwxt.com/bwxt-bolsters-american-nuclear-manufacturing-capability-with-strategic-acquisition/ | https://www.thomasnet.com/company/precision-custom-components-llc-149347/profile | https://business.ycea-pa.org/list/member/precision-custom-components-llc-york-23476 | https://www.highergov.com/subcontract/N0002417C2117-1000043908/ | https://www.fox43.com/article/news/local/program-helping-pennsylvania-defense-manufacturers-find-workers/521-607d8224-93f1-4606-9742-765b505c71f3
7,F2LEAK3EK9R3,GRAHAM CORP,Graham Corporation,Columbia-specific public evidence,High,"Graham supplies mission-critical defense turbomachinery, cryogenic pump, fluid-transfer, power, heat-transfer, and vacuum technology products. For Columbia-class submarines, Graham publicly announced a contract to provide the MK19 Air Turbine Pump assembly. The company also announced shipment of final first-article units for US Navy programs including Columbia, supporting the view that its work is a qualified equipment/subassembly item rather than raw material.",Discrete equipment/subassemblies,"Factory-built, qualified pump/turbomachinery assemblies and first-article units delivered as equipment for installation in submarine systems.",The MK19 Air Turbine Pump assembly is the clearest Columbia-specific item found publicly.,https://ir.grahamcorp.com/news-events/press-releases/detail/364/graham-corporation-wins-over-65-million-in-defense-and | https://ir.grahamcorp.com/news-events/press-releases/detail/345/graham-corporation-ships-final-first-article-units-for-u-s
8,XQW8RJNNAXX8,"W INTERNATIONAL, LLC",W International / Goose Creek advanced metal-fabrication facility,Columbia-specific public evidence,High,"W International is an advanced metal-fabrication and distributed-shipbuilding supplier for nuclear-submarine structures. Public coverage of HII's acquisition of W International assets describes the Goose Creek, South Carolina facility as producing modules used in Virginia- and Columbia-class submarine construction. HII describes the site as supporting nuclear-powered submarine module and structure construction and producing completed submarine modules and structural units.",Modular assemblies/large fabricated structures,"Completed or partially completed submarine modules and large structural units are fabricated at the off-yard facility and then delivered to prime shipyard/module integration locations, likely by heavy transport or barge depending on size and route.","This is a distributed-shipbuilding/module supplier, not a discrete valve/equipment supplier.",https://www.hii.com/news/hii-expands-shipbuilding-capacity-announcing-intent-to-acquire-south-carolina-advanced-metal-fabricator-assets-and-workforce | https://news.usni.org/2025/01/27/hii-completes-aqusition-of-w-international-assets | https://news.usni.org/2024/12/04/newport-news-shipbuilding-acquires-south-carolina-facility-from-w-international | https://www.hii.com/news/hii-increases-throughput-expands-industrial-base-through-distributed-shipbuilding | https://virginiabusiness.com/newport-news-shipbuildings-south-carolina-manufacturing-facility-is-up-and-running/
9,W8PTMRME1496,LEONARDO SPA,Leonardo DRS Naval Power Systems,Columbia-specific public evidence,High,"Leonardo DRS supplies integrated electric-propulsion products for the Columbia-class submarine program. Public announcements identify the Columbia shipset content as the permanent-magnet main propulsion electric motor, propulsion motor drives, switchgear, and propulsion controls. Leonardo DRS describes these items as the heart of the Columbia electric-drive propulsion system; it also announced delivery of the first production main propulsion motor after factory acceptance testing for integration into the lead Columbia submarine.",Major propulsion equipment/shipset hardware,"Factory-accepted propulsion equipment delivered as shipset hardware, including the main propulsion motor and associated drives, switchgear, and control equipment for installation and integration by Electric Boat.","The workbook lists Leonardo SpA; the relevant public US Navy program announcements are from Leonardo DRS, the US defense electronics and naval power business of Leonardo.",https://www.leonardodrs.com/news/press-releases/leonardo-drs-awarded-contracts-for-u-s-navys-columbia-class-submarine-program/ | https://usa.leonardo.com/en/press-release-detail/-/detail/leonardo-drs-awarded-contracts-for-us-navy-columbia-class-submarine-program | https://www.leonardodrs.com/news/press-releases/drs-delivers-advanced-electric-propulsion-equipment-for-lead-columbia-class-submarine/ | https://usa.leonardo.com/en/press-release-detail/-/detail/leonardo-drs-delivers-advanced-electric-propulsion-equipment-for-lead-columbia-class-submarine
10,Q35JL9GFCAK3,MAROTTA CONTROLS INC,Marotta Controls,Submarine-general public evidence; no public Columbia deliverable found,Medium-High,"Marotta Controls supplies shipboard flow-control and motion-control hardware used on US Navy submarines and surface ships. Public product materials state that every US submarine goes to sea with Marotta ship controls and valves in mission-critical applications, and the company lists high-performance shipboard controls for propulsion, weapons, maneuverability, pressurization, fluid/gas collection and distribution, and other submarine systems. Relevant products include in-line valves, solenoid and motor-operated controls, and manifolds that integrate valves and fluid/gas pathways.",Discrete components/equipment,"Qualified valves, manifolds, and control assemblies delivered as discrete hardware for installation in shipboard fluid, gas, weapons, propulsion, or auxiliary systems.","The public record found supports a broad submarine flow-control role, but not a named Columbia-class part or shipset.",https://marotta.com/products/flow-controls/shipboard-controls/ | https://marotta.com/products/flow-controls/ | https://marotta.com/products/flow-controls/shipboard-controls/in-line-valves/ | https://marotta.com/products/flow-controls/shipboard-controls/manifolds/ | https://marotta.com/events/navy-submarine-annual-symposium/
