Subawardee UEI,Capability Domain (D),Capability Domain Basis,Capability Domain URLs,Primary Output (P),Primary Output Basis,Primary Output URLs
C9C6HPQLL4A8,D0,Neither an onboard product nor a domain-specific Columbia construction service is identified for this UEI.,https://www.caterpillar.com/; https://www.highergov.com/awardee/caterpillar-inc-10000127/,P0,Public data do not identify a defensible Columbia-specific article or service for this UEI.,https://www.highergov.com/subcontract/N0002417C2117-1000027836/; https://www.gdeb.com/about/oursubmarines/columbia/; https://www.caterpillar.com/
CFXRGJSB9UB6,D3,Switchgear and switchboards distribute and protect ship-service electrical power.,https://www.upi.com/Defense-News/2016/11/18/L-3-to-deliver-switchgear-equipment-for-Ohio-class-replacement-subs/1271479482544/; https://govtribe.com/vendors/spd-electrical-systems-inc-dot-30086,P3,Switchgear and switchboards are acceptance-testable electrical distribution equipment.,https://www.highergov.com/awardee/l3harris-maritime-power-energy-solutions-inc-10107022/; https://www.asdnews.com/news/defense/2016/11/18/power-distribution-switchgear-equipment-us-navys-stealthiest-submarine-program; https://www.l3harris.com/all-capabilities/marine-power-distribution
CMT4S6G76QB5,D6,"Welded strategic-missile launch tubes are launcher hardware, which D6 explicitly covers.",https://www.sec.gov/Archives/edgar/data/1486957/000148695718000037/bwxt_63018x10qdocument.htm; https://news.usni.org/2018/08/08/35632,P2,Welded strategic-missile launch tubes are completed structural components installed into CMC quad packs.,https://news.usni.org/2018/08/08/35632; https://www.defensenews.com/breaking-news/2018/08/06/the-us-navys-top-acquisition-priority-stumbles-out-of-the-gate-after-bad-welds-discovered-in-missile-tubes/; https://columbia-class.com/design.asp
CPHLNLBGWFN5,D7,"Nuclear-qualified instrumentation, control electronics, processors, and power-supply modules are component-level electronic hardware.",https://www.leonardodrs.com/locations/naval-power-systems-danbury-ct/,P3,"Instrumentation/control electronics and power supplies are functional control units, not proven integrated shipsets.",https://www.leonardodrs.com/news/press-releases/leonardo-drs-awarded-contracts-for-u-s-navys-columbia-class-submarine-program/; https://www.leonardodrs.com/news/feature-stories/columbia-class-submarine/; https://usa.leonardo.com/en/press-release-detail/-/detail/1-billion-dollar-columbia-class-submarine-program
CW48SQ7KJX68,D1,Large complex-welded and machined support and structural assemblies are best classified as structural fabrication.,https://www.craftmachine.com/; https://www.craftmachine.com/about/; https://www.highergov.com/awardee/craft-machine-works-inc-10032345/,P2,Machined/welded machinery or support assemblies are fit-ready fabricated articles without a defined standalone function.,https://www.craftmachine.com/; https://submarinesuppliers.org/programs/ssbn/columbia-class/
CXK2Y51KDBW1,D9,PRL supplies cast pump and valve bodies and components; foundry casting is the differentiating competence rather than a complete D4 system.,https://www.prlinc.com/; https://lebtown.com/2022/03/07/prl-will-replace-ore-crusher-building-expand-navy-manufacturing-operations/; https://www.prlinc.com/about-us/,P2,Machined cast pump/valve bodies and components are fit-ready parts for larger fluid equipment.,https://www.prlinc.com/; https://www.prlinc.com/about-us/; https://www.prlinc.com/capabilities/
D7HNEN3DAN36,D9,"Super-heavy open-die forging of shafts, rings, or other critical shapes is the differentiating process, regardless of end use.",https://lhforge.com/productsmarkets/marine-equipment/; https://lhforge.com/productsmarkets/national-defense/; https://www.war.gov/News/Releases/Release/Article/3921637/department-of-defense-awards-15-million-to-increase-heavy-forge-production-capa/,P1,Large shaft/ring forgings are upstream metal inputs needing downstream machining and assembly.,https://lhforge.com/productsmarkets/marine-equipment/; https://lhforge.com/about-us/who-we-are/; https://www.forging.org/Common/Uploaded%20files/Event%20Presentations/2022%20Fall%20Meeting/Lehigh%20Heavy%20Forge_Keynote%20Sponsor.pdf
DA1PDLWQ7BH4,D0,Digital-twin and lifecycle software support many ship areas but do not establish one technical or material domain.,https://www.beast-code.com/; https://www.sbir.gov/portfolio/680253; https://ncms.org/25012-beast-core-integrating-technical-data-and-documents/,P6,Digital-twin software and construction/lifecycle work-instruction tools are technical work products.,https://www.highergov.com/awardee/beast-code-llc-10107712/; https://www.beast-code.com; https://seapowermagazine.org/category/navy/page/277/?print=print-search
DJG7NEG7QRK5,D4,"Ship-service ball valves, high-pressure valves, and actuators are fluid and pressure-system equipment.",https://www.fairbanksmorsedefense.com/blog/fairbanks-morse-defenses-hunt-valve-awarded-96-million-in-pos-to-deliver-essential-valves-for-virginia-and-columbia-class-submarine-programs/; https://www.fairbanksmorsedefense.com/blog/fairbanks-morse-defense-acquires-hunt-valve-company-inc-1/,P3,Ship-service and high-pressure valves are bounded functional fluid-control units.,https://www.fairbanksmorsedefense.com/blog/fairbanks-morse-defense-s-hunt-valve-awarded-96-million-in-pos-to-deliver-essential-valves-for-virginia-and-columbia-class-submarine-programs/; https://www.workboat.com/fairbanks-morse-defense-s-hunt-valve-secures-96-million-submarine-contract; https://www.naval-technology.com/news/fmd-us-submarines-construction/
DK14KTLXA9M5,D4,"Alloy elbows, tees, reducers, flanges, and tube fittings route and join pressure-boundary fluid lines.",https://kmetf.com/; https://govtribe.com/vendors/kme-america-marine-tube-fitting-llc-7a8g3,P2,"Elbows, tees, reducers, flanges, and tube fittings are fit-ready piping components.",https://kmetf.com/; https://govtribe.com/vendors/kme-america-marine-tube-fitting-llc-7a8g3; https://www.kme.com/fileadmin/DOWNLOADCENTER/SPECIAL%20DIVISION/2%20Marine%20Applications/2%20Offshore/OSNA10_Offshore_2017.pdf
DK2SLQURMJF3,D6,"Missile-tube assemblies are launcher hardware for the Common Missile Compartment, an explicit D6 function.",https://www.babcockinternational.com/news/babcock-awarded-multimillion-pound-missile-tube-contract-extension-by-electric-boat/; https://www.babcockinternational.com/who-we-are/our-sectors/marine/port-babcock-rosyth/,P2,"Missile-tube assemblies are completed launch-tube structures for installation into the CMC, not an outfitted module.",https://www.babcockinternational.com/news/babcock-awarded-multimillion-pound-missile-tube-contract-extension-by-electric-boat/; https://www.navaltoday.com/2020/06/03/babcock-to-provide-another-18-missile-tube-assemblies-for-uk-us-submarines/; https://columbia-class.com/design.asp
DXM3GSLGH2Z5,D0,"The undisclosed integrated part could be mechanical, structural, electrical, or control hardware, so no single domain is defensible.",https://fairlead.com/; https://fairlead.com/capabilities/; https://www.virginiashiprepair.org/MemberProfile/425/Fairlead-Integrated-LLC,P2,"Precision-fabricated mechanical subassemblies/support skids are fit-ready shipboard parts, not proven systems.",https://fairlead.com/; https://virginiabusiness.com/propulsion-system/; https://www.highergov.com/subcontract/N0002417C2117-1000008335/
E84NNWLU6RK3,D9,"Hamill’s differentiating contribution is precision machining of valve parts, so process competence controls over the valve’s D4 end use.",https://www.hamillmfg.com/defense; https://www.bechtel.com/projects/bechtel-plant-machinery-inc/,P3,Machined nuclear-propulsion valves are acceptance-testable flow-control units.,https://www.hamillmfg.com/defense; https://www.highergov.com/subcontract/N0002419C2115-C300348/; https://www.bpmionline.com/
E8LNMDLEKM35,D5,"Condensers, air ejectors, and heat exchangers transfer heat in the submarine steam plant.",https://www.dcfab.com/,P3,"Condensers, air ejectors, and heat-exchanger assemblies are functional heat-transfer equipment.",https://www.dcfab.com/; https://www.highergov.com/awardee/dc-fabricators-inc-10022240/; https://www.bwxt.com/bwxt-bolsters-american-nuclear-manufacturing-capability-with-strategic-acquisition/
F2LEAK3EK9R3,D4,"The identified MK19 Air Turbine Pump is functional fluid and pressure equipment, a direct D4 assignment.",https://ir.grahamcorp.com/news-events/press-releases/detail/364/graham-corporation-wins-over-65-million-in-defense-and,P3,MK19 Air Turbine Pump assembly is a bounded functional pump unit.,https://ir.grahamcorp.com/news-events/press-releases/detail/364/graham-corporation-wins-over-65-million-in-defense-and; https://ir.grahamcorp.com/news-events/press-releases/detail/345/graham-corporation-ships-final-first-article-units-for-u-s; https://graham-mfg.com/industries/defense/
F42BKS7EHCL8,D3,Degaussing converters and current-regulation electronics perform specialized electrical power conversion for the coil system.,https://submarinesuppliers.org/wp-content/uploads/2018/03/2018-SIBC-Supplier-Days-Attendees.pdf; https://www.highergov.com/awardee/ems-development-corporation-10063535/,P3,Degaussing power-electronic converters/current regulators are bounded functional electrical equipment.,https://www.l3harris.com/all-capabilities/degaussing-systems; https://www.hstoday.us/federal-pages/department-of-defense-contracts-for-sept-25-2019/; https://www.highergov.com/contract-opportunity/degaussing-system-parts-1301131025-p-f13df/
F76KN7T9YP64,D2,Custom thrust and journal bearing assemblies for the shaft line or major propulsion machinery fit D2’s bearing and power-transmission scope.,https://www.waukbearing.com/en/industries/marine.html; https://www.waukbearing.com/en/products/fluid-film-bearings.html; https://www.waukbearing.com/en/resources/bearing-knowledge/hydrodynamic-bearings.html,P2,Hydrodynamic thrust/journal bearing assemblies are fit-ready machinery components installed into rotating equipment.,https://www.waukbearing.com/en/industries/marine.html; https://www.waukbearing.com/en/products/fluid-film-bearings.html; https://www.waukbearing.com/en/products/fluid-film-bearings/thrust-bearings.html
F8M5LJA6LJL4,D4,"Hydraulic valves and manifolds, including the rudder servovalve and manifold, control pressurized fluid.",https://www.sargentaerospace.com/marine-valves/; https://www.sargentaerospace.com/marine/,P3,Hydraulic valves and servovalve/manifold assemblies are bounded functional control units.,https://www.sargentaerospace.com/marine-valves/; https://www.sargentaerospace.com/marine/; https://www.sargentaerospace.com/marine-products/
FK17Z7DJWLL1,D8,"Assembly and welding fixtures, hydraulic jacks, and caisson-lifting equipment are specialized handling and auxiliary machinery.",https://www.apco-technologies.eu/naval/,P3,"Assembly fixtures, welding trolleys, jacks, and handling equipment are bounded functional production equipment.",https://www.apco-technologies.eu/naval/; https://www.apco-technologies.eu/
FLDEFFBLR5P3,D9,"Composite and elastomeric acoustic, sealing, and hydrodynamic parts are material and process-specialized components, not a complete system.",https://www.globecomposite.com/; https://www.globecomposite.com/defense; https://www.globecomposite.com/composite-design-prototyping,P2,"Composite/elastomeric panels, gaskets, fairings, covers, and snubbers are fit-ready components.",https://www.globecomposite.com/defense; https://investor.escotechnologies.com/news-releases/news-release-details/esco-announces-acquisition-navy-submarine-supplier; https://www.globenewswire.com/news-release/2019/07/09/1880124/0/en/esco-announces-acquisition-of-navy-submarine-supplier.html
FMC8BKMNMKF2,D4,"SUBSAFE filters and strainers condition critical seawater, hydraulic, oil, or fuel circuits.",https://www.fcp-filters.com/; https://www.fcp-filters.com/defense/; https://www.fcp-filters.com/about/,P2,Filter and strainer elements are fit-ready filtration components installed in housings/systems.,https://www.fcp-filters.com/; https://www.fcp-filters.com/marine/; https://www.fcp-filters.com/filter-elements/
G319AMB56SW5,D7,Shock and EMI-qualified electronics cabinets and consoles are component-level electronic enclosures rather than the mission systems they house.,https://defense-solutions.curtisswright.com/products/901d-rugged-enclosures-consoles; https://electromet.com/news/,P2,"Qualified cabinets, enclosures, and consoles are fit-ready electronics-housing components.",https://defense-solutions.curtisswright.com/products/901d-rugged-enclosures-consoles; https://defense-solutions.curtisswright.com/resources/brochures/naval-applications-901d-brochure; https://curtisswright.com/organization/defense-electronics
G9HKMXL5L973,D9,"Elastomeric acoustic filters, isolation mounts, and laminated bearings are signature-control and material-process specialties expressly within D9.",https://oilstates.com/marine/; https://oilstates.com/wp-content/uploads/OSOilStatesProductCatalog.pdf,P2,"Elastomeric mounts, filters, and laminated bearings are installed components rather than standalone machinery.",https://oilstates.com/marine/; https://oilstates.com/offshore/fixed-platform-products/elastomeric-bearings/; https://oilstates.com/wp-content/uploads/OSOilStatesProductCatalog.pdf
GJNEBDUDNTA1,D0,"Machine-tool delivery and service support production generally, but the machined Columbia component and ship domain are indeterminate.",https://pemamek.com/us/pema-column-booms/; https://www.euro-machine.com/,P6,"Delivery/service of production machine tools is shipyard production-support work, not an onboard article.",https://euromachinery.net/; https://www.machinetools.com/en/companies/216282-euro-machinery-specialists-inc; https://en.machinetools.camozzi.com/who-we-are/innse-berardi.kl
