fy_book,keyword,has_dollar,snippet
2021,Columbia,,"Our Marine Systems segment has one primary competitor with which it also partners on the Virginia-class 15 submarine program, and to which it subcontracts on the Columbia-class submarine program. Our Combat Systems segment competes with a large number of U."
2021,Columbia,Y,"These increases were offset partially by delivery of our last commercial containership in backlog in 2020 and lower volume on the Columbia-class design contract. Overall, the Marine Systems segment’s operating margin decreased 30 basis points in 2021, reflecting the shift in mix to early work on new submarine programs with typical lower initial profit rates. 2022 Outlook We expect the Marine Systems segment’s 2022 revenue to be approximately $10.8 billion. Operating margin is expected to be approximately 8.6% as each shipyard contin"
2021,Columbia,Y,"• $1.4 billion from the Navy to provide ongoing lead yard services for the Virginia-class and Columbia-class submarine programs. • $385 from the Navy for advanced nuclear plant studies (ANPS) in support of the Columbia-class submarine program. • $355 from the Navy to provide maintenance and repair services for the DDG-51 destroyer, San Antonio-class amphibious transport dock, Ticonderoga-class guided-missile cruiser, Whidbey Island-class dock landing ship, Los Angeles-class submarine and Nimitz-cl"
2021,Virginia,Y,"We received the following significant contract awards in the Marine Systems segment during 2021: • $1.9 billion from the Navy for the construction of a tenth submarine in Block V of the Virginia-class submarine program. • $1.4 billion from the Navy to provide ongoing lead yard services for the Virginia-class and Columbia-class submarine programs. • $385 from the Navy for advanced nuclear plant studies (ANPS) in support of the Columbia-class submarine program. • $355 from the Navy to provide maintenance and repair services for the DDG-51 destroyer, San Antonio-class amphibious transport d"
2021,Virginia,Y,"9 billion from the Navy for the construction of a tenth submarine in Block V of the Virginia-class submarine program. • $1.4 billion from the Navy to provide ongoing lead yard services for the Virginia-class and Columbia-class submarine programs. • $385 from the Navy for advanced nuclear plant studies (ANPS) in support of the Columbia-class submarine program. • $355 from the Navy to provide maintenance and repair services for the DDG-51 destroyer, San Antonio-class amphibious transport dock, Ticonderoga-class guided-missile cruiser, Whidbey Island-class dock landing ship, Los Angeles-class subm"
2021,Electric Boat,Y,"We are investing $1.8 billion of capital in expanded and modernized facilities at Electric Boat to support the growth in submarine construction and expect the projects to be substantially complete by the end of 2023. Equal to the commitment of capital is our commitment to our Electric Boat workforce, which is on track to grow approximately 25% in the current decade, particularly in support of Columbia-class production. Along with strong contributions from the states of Connecticut and Rhode"
2021,submarine,Y,"Accordingly, the program has received the highest possible rating from the government’s Defense Priorities and Allocations System (DPAS). These submarines will provide strategic deterrent capabilities for decades, with the first boat delivering in 2027 to begin replacement of the current Ohio-class ballistic-missile submarine fleet as it reaches the end of its service life. Construction is scheduled to continue for two decades, and the value of the Navy’s program of record is in excess of $110 billion. The submarine’s design was more than 80% compl"
2021,submarine,Y,"These submarines will provide strategic deterrent capabilities for decades, with the first boat delivering in 2027 to begin replacement of the current Ohio-class ballistic-missile submarine fleet as it reaches the end of its service life. Construction is scheduled to continue for two decades, and the value of the Navy’s program of record is in excess of $110 billion. The submarine’s design was more than 80% complete at the time we began construction of the first boat in 2020, nearly twice as mature as any of the Navy’s previous submarine programs at the start of construction. We are"
2021,submarine,Y,"Construction is scheduled to continue for two decades, and the value of the Navy’s program of record is in excess of $110 billion. The submarine’s design was more than 80% complete at the time we began construction of the first boat in 2020, nearly twice as mature as any of the Navy’s previous submarine programs at the start of construction. We are investing $1.8 billion of capital in expanded and modernized facilities at Electric Boat to support the growth in submarine construction and expect the projects to be substantially complete by"
2021,submarine,Y,"The submarine’s design was more than 80% complete at the time we began construction of the first boat in 2020, nearly twice as mature as any of the Navy’s previous submarine programs at the start of construction. We are investing $1.8 billion of capital in expanded and modernized facilities at Electric Boat to support the growth in submarine construction and expect the projects to be substantially complete by the end of 2023. Equal to the commitment of capital is our commitment to our Electric Boat workforce, which is on track to grow approximately 25% in the current"
2021,submarine,,"We are also working with our network of approximately 3,000 suppliers — mostly small businesses — to support concurrent production of the two submarine programs. 7 Bath Iron Works builds the Arleigh Burke-class (DDG-51) guided-missile destroyers and manages modernization and lifecycle support for the class. We have a total of 10 ships in backlog scheduled for de"
2021,submarine,Y,"Overall, the Marine Systems segment’s operating margin decreased 30 basis points in 2021, reflecting the shift in mix to early work on new submarine programs with typical lower initial profit rates. 2022 Outlook We expect the Marine Systems segment’s 2022 revenue to be approximately $10.8 billion. Operating margin is expected to be approximately 8.6% as each shipyard continues to come down the learning curve on their major construction programs. COMBAT SYSTEMS Year Ended December 31 2021 2020 Variance Revenue $ 7,351 $ 7,223 $ 128 1.8 % Opera"
2021,submarine,Y,"2 billion on December 31, 2021, compared with $42.4 billion at year-end 2020. MARINE SYSTEMS The Marine Systems segment’s backlog consists of very long-term submarine and surface ship construction programs, as well as numerous engineering and repair contracts. The segment’s backlog and estimated potential contract value were down compared with year-end 2020 due to continued performance on significant multi-year contracts. We received the following significant contract awards in the Marine Systems segment during 2021: • $1.9 billion from the Navy for the constr"
