Subawardee UEI,Capability Domain (D),Capability Domain Basis,Capability Domain URLs,Primary Output (P),Primary Output Basis,Primary Output URLs
C1PGRWC26153,D4,Electromechanical linear and rotary actuators provide controlled mechanical motion.,https://actuation.curtisswright.com/en-gb/about/about-exlar-automation; https://actuation.curtisswright.com/en-gb/products,P3,Electromechanical linear/rotary actuators are bounded functional actuation equipment.,"https://actuation.curtisswright.com/en-gb/products
https://actuation.curtisswright.com/en-gb/industries/ground-and-naval-defense
https://actuation.curtisswright.com/"
C256E427Q518,D1,"Custom cutting, forming, and robotic welding indicate marine metal-fabrication competence.",https://deltakmfg.com/; https://deltakmfg.com/capabilities/robotic-welding-deltak-manufacturing/,P2,"Custom cut, formed, machined, and welded metal fabrications are fit-ready components.","https://deltakmfg.com/products/metal-products/
https://deltakmfg.com/"
CBMZJ3Z5SC89,D1,"[MECE 2026-06-20: D9->D1 firm-level reclassification, ship application determinable] Lightweight composite sail, bow-dome, and propulsor parts reflect composite-material specialization.",https://www.naval-technology.com/news/newsgoodrich-delivers-sail-cusp-for-us-navys-virginia-class-submarines/; https://www.compositesworld.com/articles/composite-solutions-cutting-cost-of-nuclear-powered-subs,P2,"Composite sail cusps, bow domes, and related structures are fit-ready structural components.","https://www.prnewswire.com/news-releases/goodrich-to-supply-sail-cusps-for-eight-virginia-class-submarines-91723819.html
https://www.naval-technology.com/news/newsgoodrich-delivers-sail-cusp-for-us-navys-virginia-class-submarines/
https://www.rtx.com/collinsaerospace/what-we-do/industries/military-and-defense/submarines-and-surface-ships/composites-urethane-rubber-products"
CFXRGJSB9UB6,D3,"Naval circuit breakers, switchgear, and protection hardware switch and protect electrical power.",https://govtribe.com/vendors/spd-electrical-systems-inc-dot-30086; https://www.marketwatch.com/story/l-3-communications-to-provide-circuit-breakers-to-navy,P3,Circuit breakers and switchgear protection hardware are functional electrical-protection units.,"https://www.leonardodrs.com/what-we-do/products-and-services/circuit-breakers/
https://www.l3harris.com/all-capabilities/marine-power-distribution
https://www.highergov.com/awardee/l3harris-maritime-power-energy-solutions-inc-10107022/"
DJG7NEG7QRK5,D4,"Navy gate, globe, ball, relief, and high-pressure valves are fluid-control equipment.",https://www.fairbanksmorsedefense.com/blog/fairbanks-morse-defenses-hunt-valve-awarded-96-million-in-pos-to-deliver-essential-valves-for-virginia-and-columbia-class-submarine-programs/; https://www.fairbanksmorsedefense.com/solutions/valves/,P3,"Ship-service ball, gate, globe, relief, and high-pressure valves are functional fluid-control units.","https://www.fairbanksmorsedefense.com/blog/fairbanks-morse-defenses-hunt-valve-awarded-96-million-in-pos-to-deliver-essential-valves-for-virginia-and-columbia-class-submarine-programs/
https://www.navaltoday.com/2025/01/08/fairbanks-morse-defense-to-provide-equipment-for-us-navys-submarines/"
DK14KTLXA9M5,D4,"Copper-nickel and alloy fittings, flanges, and piping components serve shipboard fluid systems.",https://kmetf.com/; https://resources.ardalyst.com/hubfs/Case%20Studies/Tesseract_KMETFCaseStudy.pdf,P2,"Fittings, flanges, and piping components are fit-ready parts for larger fluid systems.","https://govtribe.com/vendors/kme-america-marine-tube-fitting-llc-7a8g3
https://www.kme.com/fileadmin/DOWNLOADCENTER/SPECIAL%20DIVISION/2%20Marine%20Applications/2%20Offshore/OSNA10_Offshore_2017.pdf"
E2P8AAJA2LK5,D9,Level I/SUBSAFE precision machining is the differentiating competence.,https://microprecisiongroup.com/; https://www.murphy.senate.gov/newsroom/press-releases/murphy-highlights-south-windham-manufacturer-micro-precision-llc-as-murphys-monday-manufacturer,P2,Precision-machined Level I/SUBSAFE critical items are fit-ready components.,"https://microprecisiongroup.com/
https://compasspartners.com/compass-partners-announces-new-board-for-micro-precision-llc/
https://www.murphy.senate.gov/newsroom/press-releases/murphy-highlights-south-windham-manufacturer-micro-precision-llc-as-murphys-monday-manufacturer"
E8LNMDLEKM35,D5,Steam condensers and heat exchangers are heat-transfer and thermal-management equipment.,https://www.dcfab.com/; https://www.dcfab.com/products/military-applications/,P3,Steam condensers and heat exchangers are bounded heat-transfer equipment delivered for installation.,"https://www.dcfab.com/products/military-applications/
https://www.dcfab.com/
https://www.highergov.com/awardee/dc-fabricators-inc-10022240/"
E9DKKLZNCQS9,D7,Terminal-board hardware for a data-acquisition unit is component-level electronic interconnect hardware.,https://www.aishtechnologies.com/news/success-in-virginia-class-sub-delivery/,P2,Terminal-board and electromechanical hardware are components within larger data-acquisition/control equipment.,"https://www.aishtechnologies.com/news/success-in-virginia-class-sub-delivery/
https://www.aishtechnologies.com/"
EPSYXPS5MK39,D6,The undersea-systems entity supplies functional acoustic/sonar hardware rather than material-process-only parts.,https://www.northropgrumman.com/careers/northrop-grumman-in-annapolis-maryland; https://www.northropgrumman.com/what-we-do/sea,P2,"The concrete item is an acoustic sonar baffle, a fit-ready component within the sonar/acoustic system.","https://www.northropgrumman.com/what-we-do/sea
https://militaryembedded.com/unmanned/sensors/navy-completes-testing-submarine-acoustic-flank-array
https://www.naval-technology.com/projects/nssn/"
F1UZPBD1VBH9,D6,Industrial networking hardware provides system-level shipboard data communications.,https://lyme.com/contracts/; https://www.siemens.com/us/en/products/automation/industrial-communication/rugged-communication/ruggedcom.html,P3,"Industrial networking hardware is bounded functional equipment, not an integrated network system.","https://www.war.gov/News/Contracts/Contract/Article/1211091/contracts-for-jun-12-2017/
https://www.highergov.com/awardee/lyme-computer-systems-inc-10001645/
https://www.siemens.com/en-us/products/ruggedcom/"
F42BKS7EHCL8,D3,The Circuit-D computer-controlled power-supply system performs shipboard power conversion and control.,https://www.australiandefence.com.au/news/australia-s-ultra-electronics-secures-overseas-submarine-systems-contract; https://www.lse.co.uk/news/ultra-electronics-bags-21m-submarine-systems-contract-rw45tb5ru9vt5k4.html,P3,Computer-controlled power-supply equipment is a bounded functional electrical unit.,"https://www.australiandefence.com.au/news/australia-s-ultra-electronics-secures-overseas-submarine-systems-contract
https://www.lse.co.uk/news/ultra-electronics-bags-21m-submarine-systems-contract-rw45tb5ru9vt5k4.html
https://govtribe.com/vendors/ems-development-corporation-51435"
F76KN7T9YP64,D2,Bearing hardware is explicitly part of propulsion and mechanical power-transmission machinery.,https://www.waukbearing.com/en/industries/marine.html; https://www.highergov.com/contract/N0010424CFA13/,P2,Bearing hardware is a finished component installed into larger rotating machinery.,"https://www.waukbearing.com/en/industries/marine.html
https://aerobasegroup.com/cage-code/07332/fsc/2825/"
FK17Z7DJWLL1,D1,Assembly and welding fixtures directly support fabrication of naval structural assemblies.,https://www.apco-technologies.eu/naval/; https://www.apco-technologies.eu/,P6,Assembly/welding fixtures and installation support are production-support handoffs rather than ship articles.,"https://www.apco-technologies.eu/naval/
https://www.apco-technologies.eu/"
FLDEFFBLR5P3,D9,Composite acoustic-signature parts and domes reflect a specialty-material and composite-processing competence.,https://www.globecomposite.com/defense; https://www.globecomposite.com/blog/silent-service-acoustic-intercept,P2,"Composite gaskets, domes, and acoustic parts are fit-ready components for larger submarine systems.","https://www.globecomposite.com/defense
https://investor.escotechnologies.com/news-releases/news-release-details/esco-announces-acquisition-navy-submarine-supplier
https://www.highergov.com/awardee/globe-composite-solutions-llc-10120458/"
FMC8BKMNMKF2,D4,Wire-mesh filters and strainers condition fluids in naval-nuclear systems.,https://www.fcp-filters.com/; https://www.fcp-filters.com/marine/,P3,Filters and strainers are bounded functional fluid-conditioning units.,"https://www.fcp-filters.com/fluid-filter-products/
https://www.fcp-filters.com/about/
https://www.fcp-filters.com/"
FWF8QBPCGLG3,D9,"Welded, fabricated, and precision-machined components are defined by the manufacturing process, not a known system.",https://gentool.com/industry/defense/,P2,"Welded, fabricated, and machined mission-critical components are finished components.","https://gentool.com/industry/defense/
https://gentool.com/general-tool-awarded-48-million-navy-carrier-contract/
https://www.navair.navy.mil/osbp/node/10971"
FYUJEKH32UF5,D4,"Fittings, flanges, tees, caps, and valves have a defined piping and fluid-control function.",https://www.lmgillwelding.com/industries-served.html; https://www.lmgillwelding.com/partsproducts.html,P2,"Specialty fittings, flanges, nuts, tees, caps, and machined parts are finished components.","https://www.lmgillwelding.com/partsproducts.html
https://www.lmgillwelding.com/services.html
https://www.linkedin.com/company/lm-gill-welding-%26-manufacturing-llc"
G1DSEBQKGDF8,D4,"Instrumentation and needle valves, manifolds, and tube fittings are fluid-control hardware.",https://hoke.com/; https://hoke.com/services/about-tsi/,P3,"Instrumentation valves, needle valves, and manifolds are functional fluid-control units.","https://www.circor.com/newsroom/circor-receives-award-electric-boat-supply-block-v
https://www.circor.com/
https://www.circorpt.com/technologies-valves"
G319AMB56SW5,D10,"Rugged electronics enclosures and consoles are finished equipment outfit, not the electronic system itself.",https://defense-solutions.curtisswright.com/products/901d-rugged-enclosures-consoles; https://militaryembedded.com/radar-ew/rugged-computing/ruggedized-shipboard-enclosures-benefit-of-curtiss-wright-901d-acquisition,P2,Shock-qualified enclosures/consoles are fit-ready housings for larger electronics systems.,https://defense-solutions.curtisswright.com/products/901d-rugged-enclosures-consoles
G9HKMXL5L973,D9,Resilient weapon-system mounts are specialty elastomeric isolation and vibration-control components.,https://www.parttarget.com/Oil-States-Industries-Inc_nsn-parts_5B5000HNMVM_6M2000.html; https://www.wbparts.com/rfq/5342-01-525-1347.html,P2,Resilient weapon-system mounts are fit-ready mechanical components installed into larger assemblies.,"https://oilstates.com/marine/
https://www.parttarget.com/Oil-States-Industries-Inc_nsn-parts_5B5000HNMVM_6M2000.html"
GE4GA2B9JYF9,D1,Large complex submarine metal parts and structures are fabricated structural assemblies.,https://keelusa.com/keel-a-purpose-built-company/; https://arlingtoncap.com/news/arlington-capital-partners-announces-the-formation-of-keel-a-new-leader-in-defense-manufacturing-and-its-acquisitions-of-merrill-technologies-group-and-metal-trades-llc/,P2,"Large fabricated and machined metal parts/structures are components, not outfitted ship modules.","https://keelusa.com/
https://govtribe.com/vendors/merrill-tool-holding-company-merrill-technologies-group-6ph79
https://arlingtoncap.com/news/arlington-capital-partners-announces-the-formation-of-keel-a-new-leader-in-defense-manufacturing-and-its-acquisitions-of-merrill-technologies-group-and-metal-trades-llc/"
GLU5BML5XQK2,D0,"No reliable evidence identifies a component, material, service, or technical specialty.",https://www.corporationwiki.com/Texas/Lakeway/romey-paul-ventures-llc/38071005.aspx,P0,"No reliable source identifies this company’s Virginia-class component, material, or service.",No defensible public row-specific URL identified.
GR2CKSBB4MB5,D9,Nonferrous forging is the firm's differentiating material-forming process.,https://www.lenapeforge.com/; https://www.lenapeforge.com/products,P1,Forged metal products are forging outputs requiring downstream finishing/integration.,"https://www.lenapeforge.com/
https://www.lenapeforge.com/about-asmg
https://www.highergov.com/awardee/lenape-forged-products-corp-10291101/"
