Subawardee UEI,Role / Description,Source URLs,NAICS-6 code,NAICS-6 title
WJYVCPD5HKK7,Manufactures naval nuclear-reactor components for Columbia-class submarines. BWXT states that its naval nuclear-propulsion work includes reactor-component production for the Columbia program.,"https://www.bwxt.com/bwxt-announces-2-6-billion-in-contracts-for-naval-nuclear-reactor-components/
https://www.bwxt.com/sectors/defense-space/sea/naval-nuclear-propulsion/",332410,Power Boiler and Heat Exchanger Manufacturing
DK2SLQURMJF3,Manufactured Common Missile Compartment missile-tube assemblies at Rosyth for the U.S. Columbia and U.K. Dreadnought programs. Babcock later transferred these Rosyth operating activities to Rosyth Royal Dockyard Limited.,https://www.investegate.co.uk/announcement/rns/babcock-international-group--bab/full-year-results-for-the-year-ended-31-march-2023/7644089,Not confirmed,Not confirmed
LSMBJZFLN8L9,Manufactures missile-tube assemblies and Integrated Tube Hulls for the Common Missile Compartment shared by the Columbia and Dreadnought classes.,https://www.investegate.co.uk/announcement/rns/babcock-international-group--bab/full-year-results-for-the-year-ended-31-march-2023/7644089,336611,Ship Building and Repairing
CMT4S6G76QB5,Confirmed class-specific role: the Babcock & Wilcox/BWXT operation fabricated welded strategic-missile launch tubes for the Columbia/Dreadnought Common Missile Compartment. The tubes form the 16-tube missile compartment amidships and are integrated in four-tube “quad packs”; the listed UEI is the corporate entity associated with that subsidiary work.,"https://www.defensenews.com/breaking-news/2018/08/06/the-us-navys-top-acquisition-priority-stumbles-out-of-the-gate-after-bad-welds-discovered-in-missile-tubes/
https://news.usni.org/2019/08/06/bwxt-may-stop-making-ssbn-missile-tubes-leaving-single-supplier
https://www.gao.gov/products/gao-21-257
https://www.bwxt.com/sectors/defense-space/sea/naval-nuclear-propulsion/",551114,"Corporate, Subsidiary, and Regional Managing Offices"
FK17Z7DJWLL1,"APCO publicly supplies submarine assembly and welding fixtures plus specialized handling equipment; shipment records to Electric Boat list J/K fixtures, welding trolleys, hydraulic jacks, caisson-lifting equipment, and related controls. The records reviewed do not explicitly identify which items correspond to its Columbia-class subawards.","https://www.apco-technologies.eu/naval/
https://www.importgenius.com/suppliers/apco-technologies-sa",Not confirmed,Not confirmed
CFXRGJSB9UB6,Supplies switchgear and switchboard equipment for the Columbia-class shipboard electrical-distribution system; the program was described as the Ohio-class replacement when the award was announced.,https://www.upi.com/Defense-News/2016/11/18/L-3-to-deliver-switchgear-equipment-for-Ohio-class-replacement-subs/1271479482544/,335313,Switchgear and Switchboard Apparatus Manufacturing
NN7PCHZFNZP8,Supplies high-integrity steel and stainless-steel castings for the Columbia program. Goodwin confirms U.S. Navy/Columbia work but does not disclose the exact casting or subsystem.,"https://www.investegate.co.uk/announcement/rns/goodwin-plc--gdwn/preliminary-results-for-the-year-ended-30-apr-2025/9011342
https://www.londonstockexchange.com/news-article/GDWN/preliminary-results-for-the-year-ended-30-apr-2025/17158094",331513,Steel Foundries (except Investment)
JG6AMW7E23Z6,"The exact cargo billed to this Columbia subaward could not be confirmed. The best-supported role is defense freight forwarding, customs brokerage, and project-cargo logistics for UK-origin Common Missile Compartment hardware and its transportation/storage fixtures moving from Babcock Marine Rosyth to Electric Boat; public manifests identify C. H. Powell/Tandem as the notify/logistics party on such shipments.","https://www.importgenius.com/suppliers/babcock-marine-rosyth-limited
https://www.rilegislature.gov/Special/ARPASFSFRP/Quonset%20Development%20Corporation.pdf
https://www.chpowell.com/",488510,Freight Transportation Arrangement
F8M5LJA6LJL4,"Supplies complex hydraulic valves and manifolds for Columbia, including the rudder servovalve/manifold.","https://www.sargentaerospace.com/marine-valves/
https://www.sargentaerospace.com/marine/
https://www.linkedin.com/posts/sargent-aerospace-%26-defense_at-sargent-respecting-and-valuing-our-employees-activity-7404996725569953792-v9uH",332911,Industrial Valve Manufacturing
MAENKG4UJLK8,"A specific Columbia hardware line item is not publicly identified. Lockheed Martin’s Archbald Navy Electronic Systems operation supplies safety-critical naval-nuclear instrumentation and control equipment, so the subaward most likely covers instrument/control panels, electronics, cabling, or related assemblies used to monitor and control the reactor and steam-propulsion plant in Columbia’s engineering spaces.","https://www.lockheedmartin.com/en-us/who-we-are/business-areas/missiles-and-fire-control/archbald.html
https://www.lockheedmartin.com/content/dam/lockheed-martin/mfc/documents/energy/mfc-nuclear-ss-nss-pc-01-overview.pdf
https://19january2017snapshot.epa.gov/hwcorrectiveactionsites/hazardous-waste-cleanup-lockheed-martin-tactical-defense-systems-archbald_.html",334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables"
