uei,entity_name,parent_or_display_name,platform,ddg_signed_$M,subs_signed_$M,role,bucket,in_physical_base,scenario_flags,confidence,basis,evidence_source,override_grain,notes
EGAVSJTA2D81,GOODRICH CORP,GOODRICH CORP,both,0.1,64.4,supplier,coatings,yes,broad,med,Goodrich EPP Jacksonville - submarine bow/sonar dome elastomer & composite structures,SAM 3261 + agent,firm_entity,Collins Aerospace Engineered Polymer Products
CBMZJ3Z5SC89,GOODRICH CORP,GOODRICH CORP,both,0.1,64.4,supplier,coatings,yes,broad,med,Goodrich EPP Jacksonville - submarine bow/sonar dome elastomer & composite structures,SAM 3261 + agent,firm_entity,Collins Aerospace Engineered Polymer Products
UHXFGP3DCRK7,"HANSOME ENERGY SYSTEMS, INC.","HANSOME ENERGY SYSTEMS, INC.",subs,0.0,31.5,supplier,hvac,yes,"hme,broad",high,"Hansome Linden NJ - vane axial fans, Virginia-class atmosphere control ($31M NTE award)",web (Defense Daily contract award) + agent,firm_entity,core line is precision electrical machinery; the EB flow is ventilation fans
D77VA4G9VJG8,CATERPILLAR INC,CATERPILLAR INC,subs,0.0,19.5,supplier,electrical,yes,"electrical,hme,broad",med,CAT marine diesel generator sets (Virginia-class emergency diesel),SAM 3331 + agent,firm_entity,
N9K8Y7U3RGA9,CATERPILLAR INC,CATERPILLAR INC,subs,0.0,19.5,supplier,electrical,yes,"electrical,hme,broad",med,CAT marine diesel generator sets (Virginia-class emergency diesel),SAM 3331 + agent,firm_entity,
C9C6HPQLL4A8,CATERPILLAR INC,CATERPILLAR INC,subs,0.0,19.5,supplier,electrical,yes,"electrical,hme,broad",med,CAT marine diesel generator sets (Virginia-class emergency diesel),SAM 3331 + agent,firm_entity,
FMC8BKMNMKF2,"FLUID CONDITIONING PRODUCTS, INC.","FLUID CONDITIONING PRODUCTS, INC.",subs,0.0,18.3,supplier,piping,yes,"hme,broad",med,FCP Lancaster PA - hydraulic filters / fluid conditioning hardware,SAM 3399 + agent,firm_entity,
XDF1FRDG8KK4,"FOSTER-MILLER, INC.","FOSTER-MILLER, INC.",subs,0.0,9.2,supplier,electrical,yes,"electrical,hme,broad",med,QinetiQ US - electrical/electromechanical systems for VA/Columbia (Electronic Grounding Unit),web (QinetiQ/EB press releases) + agent,firm_entity,
FWF8QBPCGLG3,GENERAL TOOL COMPANY,GENERAL TOOL COMPANY,both,0.9,9.6,supplier,machining,yes,"metal,hme,broad",med,GTC Cincinnati - large precision machining/weldments (launch & handling systems),SAM 3364(corporate) + agent,firm_entity,3364 is a corporate artifact; work is precision machining
CT5WNUADNZ44,AMPHENOL CORPORATION,AMPHENOL CORPORATION,subs,0.0,44.3,supplier,electrical,yes,"electrical,hme,broad",med,Amphenol - mil-spec interconnects/connectors,SAM 3344 + agent,firm_entity,
PQNBC8KG93R3,AMPHENOL CORPORATION,AMPHENOL CORPORATION,subs,0.0,44.3,supplier,electrical,yes,"electrical,hme,broad",med,Amphenol - mil-spec interconnects/connectors,SAM 3344 + agent,firm_entity,
WREEAHYMRQ45,AMPHENOL CORPORATION,AMPHENOL CORPORATION,subs,0.0,44.3,supplier,electrical,yes,"electrical,hme,broad",med,Amphenol - mil-spec interconnects/connectors,SAM 3344 + agent,firm_entity,
RXA2JHPN9JD3,"BRANTNER AND ASSOCIATES, INC.","BRANTNER AND ASSOCIATES, INC.",subs,0.0,8.1,supplier,electrical,yes,"electrical,hme,broad",high,SEACON Brantner El Cajon - underwater electrical connectors/penetrators,SAM 3344 + agent,firm_entity,
TUJCSP9NJ6V5,"BRANTNER AND ASSOCIATES, INC.","BRANTNER AND ASSOCIATES, INC.",subs,0.0,8.1,supplier,electrical,yes,"electrical,hme,broad",high,SEACON Brantner El Cajon - underwater electrical connectors/penetrators,SAM 3344 + agent,firm_entity,
KMDLJAJQ4UM1,"BRANTNER AND ASSOCIATES, INC.","BRANTNER AND ASSOCIATES, INC.",subs,0.0,8.1,supplier,electrical,yes,"electrical,hme,broad",high,SEACON Brantner El Cajon - underwater electrical connectors/penetrators,SAM 3344 + agent,firm_entity,
NTREK31GP8N3,KSARIA CORPORATION,KSARIA CORPORATION,both,0.1,11.3,supplier,electrical,yes,"electrical,hme,broad",high,kSARIA - Navy-qualified fiber/copper cable assemblies & harnesses,SAM 3344 + agent,firm_entity,
DY2JXQ22MA14,KSARIA CORPORATION,KSARIA CORPORATION,both,0.1,11.3,supplier,electrical,yes,"electrical,hme,broad",high,kSARIA - Navy-qualified fiber/copper cable assemblies & harnesses,SAM 3344 + agent,firm_entity,
E9DKKLZNCQS9,TRIDENT MARITIME SYSTEMS UK LIMITED,TRIDENT MARITIME SYSTEMS UK LIMITED,subs,0.0,15.0,supplier,electrical,yes,"electrical,hme,broad",low,Trident Maritime (Callenberg) UK - marine electrical/electronic outfitting,SAM 334419 + agent,firm_entity,low conf: TMS group also does interiors/HVAC
EVP4KM37YU23,CLEVELAND-CLIFFS INC.,CLEVELAND-CLIFFS INC.,subs,0.0,6.3,supplier,structural,yes,"metal,broad",med,Cleveland-Cliffs / CC Plate - HY-grade hull steel plate (mill),SAM 331110 + agent,firm_entity,raw-material mill feeding structural fabrication
VUNMXC2JLBY3,CLEVELAND-CLIFFS INC.,CLEVELAND-CLIFFS INC.,subs,0.0,6.3,supplier,structural,yes,"metal,broad",med,Cleveland-Cliffs / CC Plate - HY-grade hull steel plate (mill),SAM 331110 + agent,firm_entity,raw-material mill feeding structural fabrication
Y7N4SPXNK115,CLEVELAND-CLIFFS INC.,CLEVELAND-CLIFFS INC.,subs,0.0,6.3,supplier,structural,yes,"metal,broad",med,Cleveland-Cliffs / CC Plate - HY-grade hull steel plate (mill),SAM 331110 + agent,firm_entity,raw-material mill feeding structural fabrication
X3DBJSMT83N5,CLEVELAND-CLIFFS INC.,CLEVELAND-CLIFFS INC.,subs,0.0,6.3,supplier,structural,yes,"metal,broad",med,Cleveland-Cliffs / CC Plate - HY-grade hull steel plate (mill),SAM 331110 + agent,firm_entity,raw-material mill feeding structural fabrication
SSD8KRDXKG46,"THE HILLER COMPANIES, LLC","THE HILLER COMPANIES, LLC",both,18.1,1.0,supplier,piping,yes,"hme,broad",med,Hiller Mobile AL - shipboard fire suppression fluid systems (foam/CO2) on USN combatants,SAM 2382 + web (hillerfire.com marine),firm_entity,
ZXMJM9MBXBQ4,"THE HILLER COMPANIES, LLC","THE HILLER COMPANIES, LLC",both,18.1,1.0,supplier,piping,yes,"hme,broad",med,Hiller Mobile AL - shipboard fire suppression fluid systems (foam/CO2) on USN combatants,SAM 2382 + web (hillerfire.com marine),firm_entity,
FQJTKZNF6GY5,"THE HILLER COMPANIES, LLC","THE HILLER COMPANIES, LLC",both,18.1,1.0,supplier,piping,yes,"hme,broad",med,Hiller Mobile AL - shipboard fire suppression fluid systems (foam/CO2) on USN combatants,SAM 2382 + web (hillerfire.com marine),firm_entity,
SKKACASET588,DYNALEC CORPORATION,DYNALEC CORPORATION,both,16.2,3.5,supplier,electrical,yes,"electrical,hme,broad",high,Dynalec Sodus NY - shipboard electrical control/announcing systems,SAM 3342 + agent,firm_entity,
PU6TDFGSJQA3,DYNALEC CORPORATION,DYNALEC CORPORATION,both,16.2,3.5,supplier,electrical,yes,"electrical,hme,broad",high,Dynalec Sodus NY - shipboard electrical control/announcing systems,SAM 3342 + agent,firm_entity,
DQ35GXAUTW61,"INDUSTRIAL CORROSION CONTROL, INC.","INDUSTRIAL CORROSION CONTROL, INC.",ddg,10.8,0.0,supplier,coatings,yes,broad,high,ICC - marine painting/corrosion-control contractor,SAM 2383 + agent,firm_entity,
NG7TY7BYU9R7,"W. & O. SUPPLY, INC.","W. & O. SUPPLY, INC.",both,3.5,2.1,supplier,piping,yes,"hme,broad",high,"W&O - marine pipe, valve & fitting distribution",SAM 4238 + agent,firm_entity,
HUYTR5ZGSSN6,"W. & O. SUPPLY, INC.","W. & O. SUPPLY, INC.",both,3.5,2.1,supplier,piping,yes,"hme,broad",high,"W&O - marine pipe, valve & fitting distribution",SAM 4238 + agent,firm_entity,
V91WXBJ7WKL1,"W. & O. SUPPLY, INC.","W. & O. SUPPLY, INC.",both,3.5,2.1,supplier,piping,yes,"hme,broad",high,"W&O - marine pipe, valve & fitting distribution",SAM 4238 + agent,firm_entity,
LGVPVLMRHH51,"W. & O. SUPPLY, INC.","W. & O. SUPPLY, INC.",both,3.5,2.1,supplier,piping,yes,"hme,broad",high,"W&O - marine pipe, valve & fitting distribution",SAM 4238 + agent,firm_entity,
C7QHHMJEALN1,"MONROE CABLE COMPANY, INC.","MONROE CABLE COMPANY, INC.",both,8.1,0.1,supplier,electrical,yes,"electrical,hme,broad",med,Monroe Cable - shipboard electrical cable (copper wire & cable mfg),SAM 331420 + agent,firm_entity,
K48HS3521BC4,EVAC NORTH AMERICA INC,EVAC NORTH AMERICA INC,both,6.6,0.1,supplier,piping,yes,"hme,broad",med,Evac - marine vacuum sanitation/waste fluid systems,SAM 3333 + agent,firm_entity,
D5NGX38L5EC9,EVAC NORTH AMERICA INC,EVAC NORTH AMERICA INC,both,6.6,0.1,supplier,piping,yes,"hme,broad",med,Evac - marine vacuum sanitation/waste fluid systems,SAM 3333 + agent,firm_entity,
N6P1AGPMV456,EVAC NORTH AMERICA INC,EVAC NORTH AMERICA INC,both,6.6,0.1,supplier,piping,yes,"hme,broad",med,Evac - marine vacuum sanitation/waste fluid systems,SAM 3333 + agent,firm_entity,
