naics6,desc,primary_vendors_in_dataset,primary_dollars_$M_in_dataset,primary_pct_dollars_in_dataset,category_id,category,rule_strength,candidate_category,mapping_note
111110,Soybean Farming,0,0,0,17,"Business, staffing, training & other support",support_service,,Nonmanufacturing support/service capability.
115115,Farm Labor Contractors and Crew Leaders,0,0,0,17,"Business, staffing, training & other support",support_service,,Nonmanufacturing support/service capability.
115310,Support Activities for Forestry,0,0,0,17,"Business, staffing, training & other support",support_service,,Nonmanufacturing support/service capability.
212319,Other Crushed and Broken Stone Mining and Quarrying,0,0,0,08,"Polymers, elastomers, composites & formulated materials",direct,,Specific process/product NAICS.
212322,Industrial Sand Mining,0,0,0,08,"Polymers, elastomers, composites & formulated materials",direct,,Specific process/product NAICS.
213112,Support Activities for Oil and Gas Operations,0,0,0,17,"Business, staffing, training & other support",support_service,,Nonmanufacturing support/service capability.
221111,Hydroelectric Power Generation,0,0,0,17,"Business, staffing, training & other support",support_service,,Nonmanufacturing support/service capability.
221112,Fossil Fuel Electric Power Generation,0,0,0,17,"Business, staffing, training & other support",support_service,,Nonmanufacturing support/service capability.
221113,Nuclear Electric Power Generation,0,0,0,17,"Business, staffing, training & other support",support_service,,Nonmanufacturing support/service capability.
221114,Solar Electric Power Generation,0,0,0,17,"Business, staffing, training & other support",support_service,,Nonmanufacturing support/service capability.
221115,Wind Electric Power Generation,0,0,0,17,"Business, staffing, training & other support",support_service,,Nonmanufacturing support/service capability.
221118,Other Electric Power Generation,0,0,0,17,"Business, staffing, training & other support",support_service,,Nonmanufacturing support/service capability.
221122,Electric Power Distribution,0,0,0,17,"Business, staffing, training & other support",support_service,,Nonmanufacturing support/service capability.
221210,Natural Gas Distribution,0,0,0,17,"Business, staffing, training & other support",support_service,,Nonmanufacturing support/service capability.
221310,WATER SUPPLY AND IRRIGATION SYSTEMS,3,2.51,0.02,17,"Business, staffing, training & other support",support_service,,Nonmanufacturing support/service capability.
221320,Sewage Treatment Facilities,0,0,0,17,"Business, staffing, training & other support",support_service,,Nonmanufacturing support/service capability.
236115,New Single-Family Housing Construction (except For-Sale Builders),0,0,0,15,"Installation, construction, maintenance & repair",business_model,,Construction/installation/maintenance/repair business model.
236116,New Multifamily Housing Construction (except For-Sale Builders),0,0,0,15,"Installation, construction, maintenance & repair",business_model,,Construction/installation/maintenance/repair business model.
236117,New Housing For-Sale Builders,0,0,0,15,"Installation, construction, maintenance & repair",business_model,,Construction/installation/maintenance/repair business model.
236118,Residential Remodelers,0,0,0,15,"Installation, construction, maintenance & repair",business_model,,Construction/installation/maintenance/repair business model.
236210,INDUSTRIAL BUILDING CONSTRUCTION,6,19.22,0.15,15,"Installation, construction, maintenance & repair",business_model,,Construction/installation/maintenance/repair business model.
236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,7,14.2,0.11,15,"Installation, construction, maintenance & repair",business_model,,Construction/installation/maintenance/repair business model.
237110,Water and Sewer Line and Related Structures Construction,0,0,0,15,"Installation, construction, maintenance & repair",business_model,,Construction/installation/maintenance/repair business model.
237120,Oil and Gas Pipeline and Related Structures Construction,0,0,0,15,"Installation, construction, maintenance & repair",business_model,,Construction/installation/maintenance/repair business model.
237130,Power and Communication Line and Related Structures Construction,0,0,0,15,"Installation, construction, maintenance & repair",business_model,,Construction/installation/maintenance/repair business model.
237310,"Highway, Street, and Bridge Construction",0,0,0,15,"Installation, construction, maintenance & repair",business_model,,Construction/installation/maintenance/repair business model.
237990,Other Heavy and Civil Engineering Construction,1,0.83,0.01,15,"Installation, construction, maintenance & repair",business_model,,Construction/installation/maintenance/repair business model.
238110,Poured Concrete Foundation and Structure Contractors,0,0,0,15,"Installation, construction, maintenance & repair",business_model,,Construction/installation/maintenance/repair business model.
238120,Structural Steel and Precast Concrete Contractors,0,0,0,15,"Installation, construction, maintenance & repair",business_model,,Construction/installation/maintenance/repair business model.
238130,Framing Contractors,0,0,0,15,"Installation, construction, maintenance & repair",business_model,,Construction/installation/maintenance/repair business model.
