category_id,category,definition,direct_naics,conditional_naics,entity_attribute_tiebreakers
01,"Electrical power equipment, conversion & distribution","Manufactures equipment that generates, converts, stores, switches, protects, or distributes electrical power aboard the ship or in supporting systems.",335132; 335139; 335311-335314; 335910,335999 only with corroboration; 335931-335932 are normally electronic interconnects (09),"Manufacturer of Goods; PSC 6110/6120/6130/6140/6150/6210; name terms motor, generator, transformer, switchgear, power supply, battery."
02,"Propulsion, engines & mechanical power transmission","Builds or services prime movers and mechanical-drive components: engines, turbines, reduction gears, bearings, shafts, couplings, brakes, and propulsion-unit parts.",332991; 333611-333613; 333618; 336310; 336330; 336340; 336350; 336412; 336415,336390 and broad aerospace/transportation codes only after process review,"PSC 2810/2825/2835/2895/2910-2995/3010-3040/3110-3130; name terms engine, turbine, propulsion, gear, bearing, drive, shaft."
03,"Fluid systems, flow control & piping","Produces fluid-handling equipment and metallic piping components: pumps, compressors, valves, actuators, fabricated pipe, and fittings.",332911-332913; 332919; 332996; 333912; 333914; 333995-333996,"Plastic/rubber pipe, hose, seals, and gaskets remain in materials/process category 08 unless entity evidence shows system integration.","PSC 4310/4320/4720/4730/4810/4820; name terms pump, valve, compressor, actuator, pipe, tube, fitting, fluid power."
04,"Thermal management, HVAC & air handling","Makes heat-transfer, steam/boiler, refrigeration, heating, ventilation, air-purification, and environmental-control equipment.",332410; 333413-333415; 333994; 334512,"238220 is installation/contracting (15), not equipment manufacturing","PSC 4110/4120/4130/4140/4420/4460/4520; name terms heat exchanger, boiler, HVAC, refrigeration, chiller, fan, blower, ventilation."
05,"Structural fabrication, tanks & ship modules","Performs heavy plate, structural, sheet-metal, enclosure, tank, container, and module fabrication, including welded ship structures.",332311-332313; 332321-332323; 332420; 332431; 332439,332999 and end-market codes such as 336992 require specific secondary process evidence; 336611 maps here only when the supplier is a fabricator rather than a shipyard/integrator.,"Manufacturer of Goods; PSC 5410/5430/5450/5670; name terms fabrication, structural, plate, weldment, module, tank, enclosure."
06,"Primary metals, forgings & castings","Melts, refines, rolls, draws, extrudes, forges, or casts ferrous and nonferrous metals and supplies mill forms or near-net-shape metal products.",331xxx; 332111-332112,Metal service centers are distribution (16) unless the UEI is clearly the producing mill/forge/foundry.,"PSC 9510-9660; name terms steel, alloy, mill, forge, foundry, casting, aluminum, copper, titanium."
07,"Precision machining, hardware & metal finishing","Performs machining, turning, forming, heat treatment, plating/coating, or manufactures small precision metal parts, fasteners, springs, and hardware.",332114; 332117; 332119; 332510; 332613; 332618; 332710; 332721-332722; 332811-332813; 339993,332999 only with machining/finishing evidence; structural plate and sheet fabrication remains in 05.,"PSC 5305-5365; name terms machine, machining, precision, fastener, bolt, spring, heat treat, plating, anodizing, coating."
08,"Polymers, elastomers, composites & formulated materials","Produces chemicals and nonmetallic engineered materials or parts using compounding, molding, laminating, coating, rubber, plastics, glass/mineral, sealing, and composite processes.",212319; 212322; 313320; 325xxx except 325920; 326xxx; 327xxx; 335991; 339991,"If a company primarily integrates completed hose/pipe systems, use 03; if it sells rather than manufactures materials, use 16.","PSC 6810-6850/8010-8040/9320-9390; name terms rubber, plastics, resin, composite, gasket, seal, foam, adhesive, coating, chemical."
09,"Electronic components, computers, interconnects & cable","Makes electronic parts and assemblies, computing hardware, printed circuits, semiconductors, passive components, connectors, wiring devices, and fiber/electrical cable.",334111-334118 (observed 111/112/118); 334412-334419; 334610; 335921; 335929; 335931-335932; 336320,335999 requires corroboration; system-level instruments and communications equipment belong in 10.,"PSC 5810/5905-5999/6010-6099/6145/6150; name terms electronics, circuit, semiconductor, connector, cable, wire, fiber optic, computer."
10,"Sensors, instrumentation, controls & communications","Builds system-level sensing, navigation, measurement, test, process-control, radar/sonar, communications, and audio/video equipment.",334210; 334220; 334290; 334310; 334510-334511; 334513-334519,334512 is environmental/HVAC control (04); 335314 power-control apparatus is 01.,"PSC 5805-5895/6620-6695; name terms sensor, instrument, radar, sonar, navigation, control, communications, telemetry, test."
11,"Industrial machinery, tooling & material handling","Manufactures production equipment, machine tools, jigs/fixtures, welding equipment, cranes/hoists/conveyors, industrial vehicles, and other plant machinery.",332216; 333112; 333120; 333131-333132; 333241-333249; 333310; 333511; 333514-333519; 333921-333924; 333991-333993,333998-333999 and generic transportation-equipment codes require secondary/process evidence.,"PSC 3410-3695/3910-3990; name terms machinery, machine tool, tooling, fixture, die, crane, hoist, conveyor, welding."
12,"Ordnance, launchers & specialized mission hardware","Produces ammunition, explosives, weapons, launch/handling equipment, and other mission hardware whose defining capability is weapons-system manufacture.",325920; 332992-332994,336414; 336419; 336992; 336999 only after review of specific secondary NAICS/PSC/name; process-specific codes override.,"PSC 10xx/12xx/13xx/14xx; name terms ordnance, ammunition, weapon, launcher, missile, torpedo, combat system."
13,"Shipyard work, marine integration & outfitting","Performs whole-ship or major marine-system integration, shipyard construction/repair, large-scale outfitting, or marine-module integration rather than a discrete component process.","336611; 336612, but both are review-trigger codes in this supplier dataset","A specific secondary process code (forging, structural fabrication, valves, heat exchangers, etc.) overrides 336611/336612 for component suppliers.","PSC 19xx/20xx; name terms shipyard, shipbuilding, marine integration, outfitting, joiner; evidence of whole-ship/major module work."
14,"Engineering, software, R&D & testing","Provides technical design, engineering, software/data, systems integration, scientific R&D, laboratory testing, surveying, or specialized technical consulting as its operating capability.",513210; 517xxx; 518210; 519290; 541310-541490 technical/design; 541380; 541511-541519; 541620; 541690; 541713-541715; 541720; 927110,541330 and 541990 are review triggers when manufacturing codes are also present; manufacturing process evidence overrides service coding.,"PSC Dxxx/R4xx/ADxx; business type/service evidence; name terms engineering, software, systems, research, laboratory, test, design."
15,"Installation, construction, maintenance & repair","Installs, constructs, repairs, maintains, remediates, or services equipment/facilities rather than manufacturing the equipment.",236xxx-238xxx; 562xxx; 811xxx; 561621-561622; 561710-561790,"Primary contractor/repair NAICS generally governs even when the full NAICS list also contains product codes, unless a curated entity review proves manufacturing is dominant.","PSC Jxxx/Kxxx/Zxxx; name terms contractor, installation, repair, maintenance, service, remediation, overhaul."
