fy,quarter,source,speaker,topic,score,quote_length,quote
2022,4,yahoo_partial,Chris Kastner,Aircraft carrier / RCOH,21,906,"We continue to remain focused on reducing risk and meeting cost and schedule objectives on the Virginia-class boats. As for nuclear aircraft carrier, CVN 79 Kennedy is well into the test program. Distributed systems such as fire main, potable water, air conditioning and ventilation are coming to life. The EMALS Catapult system, which we began testing in 2022 remains on track and is progressing as planned through her test program and we expect to enter into the Combat Systems Test program later this quarter. And finally, for the refueling and complex overhaul of CVN 73 USS George Washington, we are 98% complete as we near planned re-delivery later this year. At Mission Technologies, we achieved solid revenue growth for 2022, with all of the business groups growing year-over-year and we ended the year with a robust potential business pipeline of $66 billion, of which over one-third is qualified."
2024,1,yahoo_partial,Chris Kastner,Aircraft carrier / RCOH,20,757,"Turning to an update on our shipbuilding milestones. In the first quarter, at Ingalls, we completed builders and acceptance trials on LPD 29 Richard M. McCool Jr. which led to delivery of the ship last month. At Newport News, we delivered the first Columbia class Stern, floated off SSN 798 Massachusetts and completed acceptance trials for SSN 796 New Jersey, which also delivered in April. We were also awarded the advanced planning contract for CVN 75 USS Harry S. Truman’s RCOH and undocked CVN 74 USS John C. Stennis as part of its RCOH in April. In addition, last month, we announced the first integration of an Australian company into the Newport News shipbuilding supply chain with the purchase of steel from Australian manufacturer, Bisalloy Steel."
2024,4,insidermonkey,Chris Kastner,Aircraft carrier / RCOH,11,734,"Well, there’s a couple of changes, large changes that took place on CVN 79. The first one was related to some significant combat system work that the Navy asked us to do into the baseline work. I think what you’re referring to is moving PSC. That was the schedule change previously, where we were going to deliver it, do a significant amount of PSA work, and then get it deployed. They moved that into the baseline, which caused a schedule change. This is additional capability that they’ve developed based on CVN 78’s performance in deployment. And so you always want to get that as you learn. This is the second ship of the class. As you learn, you want to make sure that all the capabilities are in that ship when it gets deployed."
2025,1,insidermonkey,Chris Kastner,Aircraft carrier / RCOH,8,954,"The Full-Year Continuing Appropriations and Extensions Act 2025 included funding for 3 Arleigh Burke-class surface combatants, one Virginia-class submarine, one San Antonio-class amphibious ship and the RCOH for CVN-75. I’ll note that we do not expect a material impact related to tariffs. We purchased the vast majority of our material domestically. We have long-term purchase agreements in place for material that may be impacted by tariffs. In summary, I’m encouraged by the results to-date and the progress our team has made against the operational initiatives we’ve laid out. But I also know there is significant work to be done as we continue to execute for our customers and create value for our shareholders. Our outlook is unchanged. And over the next few years, as we execute on the pre-COVID contracts and transition into the post-COVID contracts, we will continue to reduce risk and align our portfolio baselines with the current environment."
2025,3,fool,Chris Kastner,Aircraft carrier / RCOH,12,677,"As for our carrier program, CVN 79 Kennedy continues to make progress in its testing program, and we expect to conduct the ship's first sea trials around the end of the year. Shipbuilders are installing the large components that have now been received on CVN 80 Enterprise, which will allow erection progress to accelerate. Moving to Ingalls, in the third quarter, we successfully completed Builders trial for DDG-128, Ted Stevens, bringing her a step closer to acceptance trials and delivery. Our amphibious warship construction continues to make progress with both LHA-8 Bougainville and LPD-30 Harrisburg going through integration and testing in support of trials next year."
2026,1,fool,Christopher Kastner,Aircraft carrier / RCOH,15,579,"In addition to the support for our programs in last year's reconciliation bill, we saw continued bipartisan support for our programs reflected in the 2026 Consolidated Appropriations Act, including funding for CVN 80 and 81, along with advanced procurement for CVN-82, continued funding for CVN 74 RCOH, funding for the Virginia-class and Columbia-class submarine programs, advanced procurement for the DDG 51 program and funding for long-lead materials for the new frigate program. In early April, the President submitted a top-level fiscal year 2027 budget request to Congress."
2023,3,insidermonkey,Thomas E. Stiehle,Backlog / forward visibility,26,496,"Mission Technologies had an impressive third quarter backlog book-to-bill of 2.4, and year-to-date has the potential total contract value awards of over $5 billion, in addition to a robust opportunity pipeline of $70 billion. Looking to the end of the year, we are pleased to raise 2023 revenue and free cash flow guidance and reaffirm margin guidance as we continue to execute the milestones and commitments that we’ve laid out. With that, I’ll turn the call back over to Christie to manage Q&A."
2024,3,insidermonkey,Tom Stiehle,Backlog / forward visibility,17,824,"While we remain confident that we will ultimately receive the new contract awards, we are now uncertain of the timing and whether the overall contracting construct of those awards will enable full pursuit of near-term key investments needed to accelerate performance, rate, and volume of the Newport News portfolio of contracts. Our initial guidance for 2024 also assumed incremental program performance improvement consistent with normal expectations to capture learning curve improvements and production efficiencies over time. Performance has not improved at the forecasted rate due to workforce inexperience and delays with the supply chain, which along with our updated contracting expectation has a near-term impact on our ability to achieve progress milestones, burn down working capital, and collect associated cash."
2025,1,insidermonkey,Chris Kastner,Backlog / forward visibility,15,450,"Let me start with that. So guidance assumes execution of the Block V Build II contract that it has all year. And we assume incentives and capital incentives in all of our guidance. So, there are some incentives in Q2 related to that contract as well as other contracts. So it’s all in the mix when we come through our guidance for free cash flow for Q2 as well as the end of the year. I don’t know, Tom, if you want to add anything in regard to that."
2025,2,insidermonkey,Thomas E. Stiehle,Backlog / forward visibility,20,746,"Yes. In February, we had mentioned about the 3 awards we had in FY [ 2020 ] anomaly done in the springtime. Another 2 awards were planned for the back half of the year. As we mentioned, there is a factoring of opportunities and risks in how things play out, so that’s why we give ranges on revenue and margin and cash. Those awards really — we wouldn’t have any cost to sales or they wouldn’t overly impact the margin if they got awarded in the back half of the year. It really just is a function of incentives, any advancements on any infrastructure for capital investments. That could either provide tailwinds or headwinds. That’s been factored into guidance right now. So it doesn’t impact the current EACs and profitability that I have today."
