Subawardee UEI,Role / Description,Source URLs,NAICS-6 code,NAICS-6 title
YNJNTZWVC3H6,"Produces Virginia-class Propulsor Forward Assemblies (pump-jet propulsor hardware) and provides related design-engineering, sustainment hardware, and spares. Public awards cover manufacture of fixed propulsor assemblies for multiple boats.","https://www.baesystems.com/en-us/article/bae-systems-awarded-92-million-us-navy-contract-for-virginia-class-submarine-propulsors
https://www.highergov.com/contract/N0002421C4106/",336611,Ship Building and Repairing
WMXDDH6HJNA5,"Newport News Shipbuilding is the Virginia-class co-builder with General Dynamics Electric Boat. It fabricates and outfits large submarine modules, joins pressure-hull sections, and performs assembly, test, and delivery work on boats assigned to Newport News.","https://hii.com/news/multimedia-release-newport-news-shipbuilding-opens-new-submarine-facility
https://hii.com/news/hii-arkansas-ssn-800-newport-news-shipbuilding-pressure-hull-2023",336611,Ship Building and Repairing
PAH8M4BJACA5,"Teledyne D.G. O'Brien supplies high-reliability electrical interconnect hardware for Virginia-class submarines. Its submarine products include pressure-hull penetrators, connectors, and outboard cable assemblies; public procurement data confirms class-specific parts/material support but does not disclose the exact subaward part numbers.","https://www.teledynemarine.com/brands/dgo
https://www.teledynemarine.com/brands/dgo/pressure-hull-penetrator
https://www.cleat.ai/government/contracts/59-measuring-and-testing-electricity-and-electrical-signals-9let",334417,Electronic Connector Manufacturing
FK17Z7DJWLL1,"The exact Virginia-class deliverable could not be confirmed publicly. APCO's naval business designs, manufactures, integrates, and installs advanced assembly and welding fixtures used to fabricate naval structures and components.","https://www.apco-technologies.eu/naval/
https://www.apco-technologies.eu/turnkey-projects/",,Not confirmed from reliable public sources
F42BKS7EHCL8,"Produces the Circuit-D naval computer-controlled power-supply system, originally designed for the Virginia-class program and described as a critical platform electronic system. EMS also supplies parts and spares for advanced degaussing/signature-management systems.","https://www.lse.co.uk/news/ultra-electronics-bags-21m-submarine-systems-contract-rw45tb5ru9vt5k4.html
https://www.highergov.com/awardee/ems-development-corporation-10119694/",334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing"
RLXQHCXFT513,"Supplies highly engineered naval-nuclear submarine fluid-system hardware, including proprietary valves, manifolds, pipe fittings, and flanges. Public filings identify these product lines as components for U.S. naval nuclear submarines.","https://www.highergov.com/awardee/cunico-corporation-10116319/
https://www.sec.gov/Archives/edgar/data/1486957/000148695723000033/bwxt-20230630.htm",332996,Fabricated Pipe and Pipe Fitting Manufacturing
QNEXJLA47BM4,Supplies marine accommodation/joiner systems and interior hardware for Virginia-class submarines. A hardware supplier states that Jamestown commissioned the class's stainless-steel 3811-series mortise door-lock system.,"https://www.thebrassworksinc.com/military/
https://www.jmms.com/marine/",336611,Ship Building and Repairing
UHXFGP3DCRK7,Designs and manufactures precision motors and generators for naval and submarine electrical machinery. The exact Virginia-class motor or generator model covered by the subaward was not publicly disclosed.,"https://hanenergy.com/about-us/
https://www.highergov.com/awardee/hansome-energy-systems-inc-10009380/",335312,Motor and Generator Manufacturing
K294P4QJHFU9,"Provides shipbuilding and program-management advisory services, including design-for-affordability, production planning, coordination, and industry expertise. The exact Virginia-class task performed under the subaward was not publicly described.","https://mwjones.com/industry-advisors/
https://www.highergov.com/subcontract/N0002417C2100-1000042259/",541611,Administrative Management and General Management Consulting Services
NEGFNA8YS723,"Through Granite State Manufacturing, produces precision-machined, welded, and electromechanical submarine components. Public reporting on Block V work says its products help submarines breathe, listen, and communicate, and identifies cable-handling systems; the exact product names were not released.","https://granitestatemfg.com/granite-state-manufacturing-secures-25-million-in-new-us-navy-contracts/
https://www.businessnhmagazine.com/article/submarine-manufacturing-spurs-workforce-demand",339999,All Other Miscellaneous Manufacturing
MU3CM1145E44,"Develops, integrates, produces, and supports AN/BYG-1 submarine combat-control capabilities, including weapon-launch hardware and software, trainers/simulators, and systems engineering. AN/BYG-1 is fielded on Virginia-class submarines.","https://gdmissionsystems.com/submarine-systems/combat-systems/an-byg-1
https://gdmissionsystems.com/sea/progeny-systems",541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)"
TZVRTYNM3MN3,"Fabricates large, complex, and fracture-critical steel structures for Virginia- and Columbia-class submarines. Its work includes plate cutting and forming, precision machining, welding, and assembly.","https://arlingtoncap.com/news/arlington-capital-partners-announces-the-acquisition-of-pegasus-steel/
https://peprofessional.com/2023/06/pegasus-steel-acquired-by-arlington/",332313,Plate Work Manufacturing
E9DKKLZNCQS9,"Designs and manufactures critical electronic and electromechanical equipment for Virginia-class Blocks I-V. Public parts data links Aish terminal-board hardware to a Virginia-class data-acquisition unit, although the exact subaward configuration is not disclosed.","https://www.aishtechnologies.com/news/success-in-virginia-class-sub-delivery/
https://www.asapsemi.com/nsn/rfq/aish-technologies-ltd/5940015162439/s9633-b3-mma-010-item-7-4-11/",334419,Other Electronic Component Manufacturing
C256E427Q518,"The exact Virginia-class component could not be confirmed publicly. Deltak is a custom metal fabricator providing laser/plasma cutting, forming, machining, robotic welding, and contract manufacturing.","https://deltakmfg.com/
https://deltakmfg.com/about/
https://www.highergov.com/subcontract/N0002417C2100-SNG091-028/",332323,Ornamental and Architectural Metal Work Manufacturing
N79NY6FRL2F3,"Supplies Level I Navy seamless and welded fittings, forgings, and pipe. Public transaction materials identify Custom Alloy as a dual source for Virginia-class main-seawater-system fittings.","https://customalloycorp.com/about-custom-alloy/
https://www.ssgca.com/client-transaction/custom-alloy-corporation/",332996,Fabricated Pipe and Pipe Fitting Manufacturing
F76KN7T9YP64,Public parts-catalog data links Waukesha bearing hardware and associated temperature-sensing/probe components to Virginia-class submarine systems. The exact bearing assembly covered by this subaward was not publicly disclosed.,"https://www.parttarget.com/Waukesha-Bearings-Corporation_nsn-parts_061000083ITEM200_000080010-000.html
https://www.asapsemi.com/nsn/rfq/waukesha-bearings-corporation/6685013796353/f061-000-033pc168/",333613,Mechanical Power Transmission Equipment Manufacturing
KENVPMBVBT39,"The exact Virginia-class deliverable could not be confirmed publicly. Rhoads performs heavy and custom metal fabrication, machining, welding, and shipboard/maritime construction and repair for Navy customers.","https://www.rhoadsinc.com/
https://www.highergov.com/awardee/rhoads-metal-fabrications-inc-12007090/",336611,Ship Building and Repairing
GLU5BML5XQK2,"The subaward record establishes participation in the Virginia-class program, but no reliable public source was found that identifies this company's specific component, material, or service.",No reliable public source located,,Not confirmed from reliable public sources
XDF1FRDG8KK4,"The exact Virginia-class item could not be confirmed publicly. Foster-Miller/QinetiQ provides undersea systems engineering, robotics, advanced materials, and other defense technologies, but reviewed sources did not tie a specific deliverable to this subaward.","https://govtribe.com/vendors/foster-miller-inc-dot-qinetiq-north-america-30233
https://www.highergov.com/awardee/qinetiq-north-america-10113067/",336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing
TZLXM3NCC7D1,"Supplied advanced low-maintenance valve-regulated lead-acid main storage battery systems for Virginia-class submarines. Public descriptions state that these batteries provide emergency/backup power and reactor-restart capability, including cells and associated packaging/trays.","https://www.arkansasedc.com/news-events/newsroom/detail/2016/06/23/company-gets-grant-to-boost-production-of-submarine-batteries
https://www.power-eng.com/nuclear/exides-network-power-business-group-to-supply-storage-batteries-for-us-navy/
https://www.prnewswire.com/news-releases/exide-technologies-earns-defense-production-act-dpa-title-iii-program-award-300291179.html",335910,Battery Manufacturing
W3KUJLTCRLV1,Manufactures critical fittings and assembled components for Virginia- and Columbia-class submarines. It also performs final machining and assembly of additively manufactured submarine parts.,"https://www.businesswire.com/news/home/20240313937466/en/Fairbanks-Morse-Defense-Continues-Expanding-Turnkey-Solutions-with-AMMCON-Acquisition
https://hii.com/news/hii-additive-manufacturing-virginia-class-submarine-newport-news-shipbuilding-2023",332919,Other Metal Valve and Pipe Fitting Manufacturing
JKPCAKFW8X93,"Manufactured large, complex steel castings for the Virginia-class supply chain. Public company sources confirm Americast's large engineered steel-casting business, but no reliable public source identified the exact casting covered by this subaward.","https://castleharlan.com/portfolio/item/43-americast-technologies-inc
https://www.osha.gov/ords/odi/establishment_search.search?begindart=&begindawfii=&begintcr=&city=&enddart=&enddawfii=&endtcr=&endyear=&establishment=&naics=&p_desc=DESC&p_direction=Next&p_finish=151340&p_show=20&p_sort=tcr&p_start=&sic=&startyear=&state=&zip=",331513,Steel Foundries (except Investment)
MF1LU8RPCMB8,"Provides large-scale precision fabrication, welding, and machining for BAE's Virginia-class propulsor assemblies. A disclosed subcontract identifies Ranor as supplying material to the propulsor contract, but does not name the exact part.","https://www.techprecision.com/
https://www.highergov.com/contract/N0002421C4106/",332313,Plate Work Manufacturing
FMC8BKMNMKF2,"Supplies precision, cleanable all-metal wire-mesh filters and strainers for naval-nuclear submarine fluid systems. Public reporting connects the company's precision filters to Virginia-class construction, but does not identify the exact filter covered by this subaward.","https://www.fcp-filters.com/industries/
https://www.fcp-filters.com/about/
https://njcommissioning.org/august-24-newsletter/",339999,All Other Miscellaneous Manufacturing
JA2KCX21NL48,Supplies Virginia-class shaft/bulkhead seal equipment and technical oversight for installation and maintenance. Wärtsilä's U.S. defense business specializes in marine shaft sealing and submarine propeller repair.,"https://www.highergov.com/contract-opportunity/va-class-shaft-seal-technical-oversight-n4215823qs030-k-ce9a3/
https://www.wartsila.com/usa/about/history",336611,Ship Building and Repairing
TY25RCEB5FF3,Fabricates massive structural-steel tooling and assemblies used by Electric Boat workers to build Virginia-class submarines. Public reporting does not identify the individual structures covered by this subaward.,"https://portal.ct.gov/OMA/In-the-News/2017-News/Sub-Suppliers-Sharing-In-EB-Boom
https://www.highergov.com/awardee/collins-jewell-company-inc-10458080/",332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
JK4WJKLD44G9,"Produces cast metal components for submarine propulsion, fluid-control, weapons, and structural-support systems. Public examples include shaft sleeves, valve components, propeller hubs, and HY-80 steel castings; the exact Virginia-class casting is not public.","https://www.metaltek.com/market-solutions/defense/
https://www.metaltek.com/hy-80-steel/",331529,Other Nonferrous Metal Foundries (except Die-Casting)
N5KMLMXEPFM5,"Supplies Virginia-class salinity sensors, including Parker part number 106107-00 identified in public procurement notices. The sensors support monitoring of water/salinity conditions aboard the submarine.","https://discover.govdash.com/solicitations/019d015d-4ac4-7476-81bb-9d9d9aacbe1d--yjn-virginia-class-submarine-salinity-sensor
https://govtribe.com/opportunity/federal-contract-opportunity/yjn-virginia-class-submarine-salinity-sensor-spe4a726r0423",333310,Commercial and Service Industry Machinery Manufacturing
KZGEJ29ND6K3,"The specific Virginia-class chemical or material could not be confirmed publicly. Evonik manufactures specialty additives, hardeners, silanes, and monomers for marine and protective coatings, but no reviewed source tied a particular product to this subaward.",https://www.evonik.com/en/applications/application_674336.html,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing
RYRLL49HWN65,"Provides U.S. Navy interior doors and closures fabricated in steel, aluminum, and stainless steel, plus related marine sheet-metal and repair work. Public sources did not identify the exact Virginia-class door or service covered by this subaward.","https://www.bakersheetmetal.com/marine-us-navy-doors
https://govtribe.com/award/federal-vehicle/hme-modernization-program",332322,Sheet Metal Work Manufacturing
FYUJEKH32UF5,"Manufactures welded and machined Navy hardware such as specialty fittings, flanges, union nuts, tees, caps, tailpieces, valves, and other machine components. The exact Virginia-class item was not publicly disclosed.","https://www.lmgillwelding.com/photo-gallery.html
https://www.highergov.com/awardee/l-m-gill-welding-manufacturing-l-l-c-10020547/",332710,Machine Shops
X6N2CNV552X7,"Provides SUBSAFE-authorized submarine modernization and repair plus precision fabrication, including installation, troubleshooting, maintenance, and repair of hull, mechanical and electrical, weapons, and main/auxiliary equipment. Public contracts also cover engineering and technical support for Virginia-class construction and maintenance.","https://www.oceaneering.com/marine-services/submarine-modernization-and-repair/
https://www.war.gov/News/Contracts/Contract/Article/1721253/contracts-for-dec-26-2018/",336611,Ship Building and Repairing
NTREK31GP8N3,"Supplies fiber-optic and electrical cable assemblies, harnesses, and interconnect engineering, fabrication, installation, and logistics for military platforms. The exact Virginia-class cable assembly covered by this subaward was not publicly identified.","https://ksaria.com/
https://www.navair.navy.mil/osbp/node/4756",334417,Electronic Connector Manufacturing
NRCCMBKQ6FD7,"The exact Virginia-class deliverable could not be confirmed publicly. Leidos provides undersea-warfare systems engineering, integration, and test support; public parts data has linked Leidos cable assemblies to Virginia-class weapon-system applications, but the entity/configuration match is not definitive.","https://www.upi.com/Defense-News/2017/08/04/Leidos-Innovations-receives-contract-for-US-Navys-undersea-warfare-system/9041501860024/
https://www.nationalstocknumbersupply.com/rfq/leidos-engineering-and-sciences-llc/6150015827717/bw3-1a08913-505/",541512,Computer Systems Design Services
NVPEBL51CSF8,"Produces precision-machined SUBSAFE/Level I, nuclear-plant, and non-level fittings, valves, flanges, components, and assemblies for U.S. submarines. The exact Virginia-class fitting or part number in this subaward was not publicly disclosed.","https://guilldefense.com/about/company-profile/
https://www.highergov.com/contract/N0002417C2100/",332710,Machine Shops
U4MMR7DR2DR7,Public NSN data identifies a JAL electric shipboard range as an end item for Virginia Block III submarines. JAL also supplies shipboard electrical/power equipment; the exact subaward configuration was not publicly disclosed.,"https://app.salespatriot.com/nsn/7310012905148
https://fsg-59-relays-semiconductor-devices.parttarget.com/coils-transformers-IQ4H050QTC30_KL731JLTE2N2C.html",336611,Ship Building and Repairing
N5BYYW3MMFP7,The exact Virginia-class item could not be confirmed publicly. Hutchinson manufactures naval-grade elastomeric shock/vibration isolation mounts and acoustic-damping materials used to protect equipment and reduce structure-borne noise.,"https://aerospacedefense.hutchinson.com/en/solutions/anti-shock-and-vibration-mounts
https://aerospacedefense.hutchinson.com/en/solutions/acoustics-vibrations",326291,Rubber Product Manufacturing for Mechanical Use
GE4GA2B9JYF9,"Fabricates, machines, and integrates large, complex metal parts and structures for submarine programs. Public sources do not identify the exact Virginia-class component covered by this subaward.","https://arlingtoncap.com/news/arlington-capital-partners-announces-the-formation-of-keel-a-new-leader-in-defense-manufacturing-and-its-acquisitions-of-merrill-technologies-group-and-metal-trades-llc/
https://keelusa.com/keel-a-purpose-built-company/",332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
GR2CKSBB4MB5,Supplies forged metal components for defense and submarine applications. The exact Virginia-class forging covered by this subaward was not publicly identified.,"https://www.linkedin.com/company/lenape-forged-products-corporation
https://www.highergov.com/subcontract/N0002424C2110-1000118102/",332112,Nonferrous Forging
GXPHJRVG9MR7,"Supplies shipboard electrical-distribution hardware, specifically marine load centers and switchboards installed on Virginia-class submarines, together with associated design and engineering support.","https://www.leonardodrs.com/what-we-do/products-and-services/marine-switchboards-and-loadcenters/
https://www.highergov.com/subcontract/N0002420C2120-1000037501/",335311,"Power, Distribution, and Specialty Transformer Manufacturing"
MC77SUMRLXY5,Supplies marine valves installed on Virginia-class submarines. Public sources confirm the program relationship but do not identify the exact valve types covered by this subaward.,"https://www.milwaukeevalve.com/
https://www.supplyht.com/articles/97884-milwaukee-valve-showcases-its-operations-to-client-newport-news-shipbuilding",332911,Industrial Valve Manufacturing
R9EYKGK8NKA5,"Manufactured pipe fittings, including elbow joints, for Virginia-class steam-piping systems. Public records identify NuFlo fittings as installed in the class, although they do not map this subaward to individual part numbers.","https://www.navytimes.com/news/your-navy/2016/03/27/secret-weld-how-shoddy-parts-disabled-a-2-7-billion-submarine/
https://law.justia.com/cases/federal/appellate-courts/ca11/21-13673/21-13673-2023-08-17.html",332710,Machine Shops
J8PKNJEX2MS2,"Provides heavy-lift marine transport, barge service, crane and rigging, specialized hauling, and nuclear-certified machinery/equipment transport for Virginia-class construction. Public records tie its work to SSN 802 and SSN 803.",https://www.highergov.com/awardee/lockwood-brothers-inc-10403232/,483113,Coastal and Great Lakes Freight Transportation
G319AMB56SW5,Supplies shock-qualified rugged electronics enclosures and consoles used to house mission-critical naval electronics. The exact Virginia-class enclosure configuration was not publicly identified.,"https://defense-solutions.curtisswright.com/products/901d-rugged-enclosures-consoles
https://defense-solutions.curtisswright.com/resources/brochures/naval-applications-901d-brochure",332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
